"번호","sourceSegment","exerciseStableKey","운동명","bodyRegion","category","forceType","movementPattern","movementCategory","laterality","plane","equipmentTags","primaryMuscles","secondaryMuscles","scapularDemand","hipDemand","legacyJointEmphasis","jointEmphasisAuthority","운동군","운동군_ko","연구구분","대표연구운동","scoreStatus","scoreRowCount","mappedLoadUnitStableKeys","mappedJointComplexStableKeys","mappedComponentTissueStableKeys","mappedLoadUnitCount","P_load_profile","DoseBasis","DoseUnit","DoseRule","metadataUpdatedAt","description"
"108","UPPER_95","ex_c62c0716","컨센트레이션 컬","UPPER","근력운동","ISOLATION","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT","ACCESSORY","UNILATERAL","SAGITTAL","덤벨","이두근","전완근","","","ELBOW|WRIST","DEPRECATED_AFTER_NEW_MAP","CURL_SUPINATED","회외·중립 이두 컬","운동군 전이","N","RESEARCH_CORRECTED_V0.2","11","lu_0fff8b2ee4|lu_1b115c8b4f|lu_52a0b0ba44|lu_6573d7bf8a|lu_8af4d2c3e7|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_c738cc0a37|lu_dec56c15d8|lu_e11d5f58a5","jc_0876f954f2|jc_6e7ae18e56|jc_7ac0533b9d|jc_eadfb381fa","tissue_1e675db416|tissue_21f8300cc1|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_4360531007|tissue_45c03145ee|tissue_4608205e92|tissue_5a830323a8|tissue_6ab8c8af59|tissue_8e5c3b2414|tissue_a19cc622c3|tissue_a5051659e6|tissue_af7cdbd941|tissue_ba1d866e61|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_e30af10e4a|tissue_fcc58a85e8","11","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","팔꿈치를 허벅지 안쪽에 고정하고 한 팔씩 컬한다. 반동을 줄인 이두 고립운동으로 좌우 차이 확인에 좋다."
"109","UPPER_95","ex_b76d3f92","케이블 래터럴 레이즈","UPPER","근력운동","ISOLATION","SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY","ACCESSORY","BILATERAL","FRONTAL","케이블","측면삼각근","상부승모근/회전근개","SCAPULAR_CONTROL_LIGHT","","SHOULDER","DEPRECATED_AFTER_NEW_MAP","LATERAL_RAISE","견관절 외전 레이즈","운동군 전이","N","SCORED_RESEARCH_DRAFT","9","lu_0a858e59a0|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_6573d7bf8a|lu_c11995f705|lu_c8bfbfac3b|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_9caf42a031|jc_ffd0b0e192","tissue_1e675db416|tissue_36333205dc|tissue_514b348f95|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aabc5cfcea|tissue_b30624a2b0|tissue_ba1d866e61|tissue_c60f2bd1f5|tissue_e1c9db452e|tissue_ed3eafe58e|tissue_fcc58a85e8","9","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","케이블을 옆으로 들어 측면삼각근을 수축한다. 덤벨보다 시작 구간 장력이 커서 가볍게 통제한다."
"110","UPPER_95","ex_fa31f7a6","케이블 로우","UPPER","근력운동","PULL","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","STRENGTH","BILATERAL","TRANSVERSE","케이블","광배근/능형근","이두근/후면삼각근","SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","ROW_SUPPORTED_OR_CABLE","지지·케이블 수평 로우","운동군 전이","N","SCORED_RESEARCH_DRAFT","20","lu_0a858e59a0|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8|lu_f037b5f8ea","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bb60f64b7d|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","20","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","케이블을 몸쪽으로 당겨 등을 수축한다. 허리 부담을 낮추면서 등 볼륨을 쌓기 좋은 기본 로우다."
"111","UPPER_95","ex_3c3692aa","케이블 원암 로우","UPPER","근력운동","PULL","PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","STRENGTH","UNILATERAL","TRANSVERSE","케이블","광배근/능형근","이두근/후면삼각근/코어","SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","ROW_UNILATERAL","편측 수평 로우","운동군 전이","N","SCORED_RESEARCH_DRAFT","22","lu_0a858e59a0|lu_0e8a3f133f|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_45688de60a|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8|lu_f037b5f8ea","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_864898a64c|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_064e589e94|tissue_1e675db416|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_599a0d89b2|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bb60f64b7d|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","22","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","케이블 원암 로우: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 광배근/능형근이고, 이두근/후면삼각근/코어이 흔들리지 않게 보조한다."
"112","UPPER_95","ex_eb636bac","케이블 원암 트라이셉스 익스텐션","UPPER","근력운동","ISOLATION","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|UNILATERAL_UPPER","ACCESSORY","UNILATERAL","SAGITTAL","케이블","삼두근","전완근/코어","SHOULDER_STABILITY_LIGHT","","ELBOW|SHOULDER","DEPRECATED_AFTER_NEW_MAP","TRICEPS_PUSHDOWN","중립자세 팔꿈치 신전","운동군 전이","N","SCORED_RESEARCH_DRAFT","5","lu_63101fe8b2|lu_6573d7bf8a|lu_a706efdddb|lu_c11995f705|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_eadfb381fa","tissue_1e675db416|tissue_5a830323a8|tissue_7c9fa6743b|tissue_8e5c3b2414|tissue_a19cc622c3|tissue_ba1d866e61|tissue_c60f2bd1f5|tissue_e1c9db452e|tissue_e30af10e4a|tissue_fcc58a85e8","5","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","케이블 원암 트라이셉스 익스텐션: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 삼두근이고, 전완근/코어이 흔들리지 않게 보조한다."
"113","UPPER_95","ex_e709eeda","케이블 컬","UPPER","근력운동","ISOLATION","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","ACCESSORY","BILATERAL","SAGITTAL","케이블","이두근","전완근","","","ELBOW|WRIST","DEPRECATED_AFTER_NEW_MAP","CURL_SUPINATED","회외·중립 이두 컬","운동군 전이","N","SCORED_RESEARCH_DRAFT","11","lu_0fff8b2ee4|lu_1b115c8b4f|lu_52a0b0ba44|lu_6573d7bf8a|lu_8af4d2c3e7|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_c738cc0a37|lu_dec56c15d8|lu_e11d5f58a5","jc_0876f954f2|jc_6e7ae18e56|jc_7ac0533b9d|jc_eadfb381fa","tissue_1e675db416|tissue_21f8300cc1|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_4360531007|tissue_45c03145ee|tissue_4608205e92|tissue_5a830323a8|tissue_6ab8c8af59|tissue_8e5c3b2414|tissue_a19cc622c3|tissue_a5051659e6|tissue_af7cdbd941|tissue_ba1d866e61|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_e30af10e4a|tissue_fcc58a85e8","11","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","케이블을 팔꿈치 고정 상태로 말아 올린다. 반복 내내 장력이 유지돼 이두 고립에 좋다."
"114","LOWER_90","ex_fa34ddfe","케이블 킥백","LOWER","근력운동","ISOLATION","HIP_EXTENSION|GLUTE_ISOLATION|POSTERIOR_CHAIN_ACCESSORY|UNILATERAL_LOWER","ACCESSORY","UNILATERAL","SAGITTAL","케이블","둔근","햄스트링/코어","","HIP_EXTENSION","HIP","DEPRECATED_AFTER_NEW_MAP","HIP_EXTENSION","","신규 연구","N","EXISTING_SCORE_MIGRATED","6","lu_27b4a0df1d|lu_a18a644473|lu_a7dd63adb6|lu_a9651bd8d7|lu_d967354bce|lu_ff559f42cd","jc_209871f411|jc_ae763d5994","tissue_06987e1084|tissue_21a56b379e|tissue_50091b2878|tissue_7f007308a0|tissue_bacab6a4b8|tissue_e4bd028575|tissue_ea550bfa51|tissue_f41bde5976","6","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","발목 스트랩으로 한쪽 다리를 뒤로 뻗는다. 허리를 꺾지 않고 둔근 수축으로 끝 범위를 만든다."
"115","LOWER_90","ex_4c76dbb2","케이블 풀스루","LOWER","근력운동","HINGE","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","STRENGTH","BILATERAL","SAGITTAL","케이블","둔근/햄스트링","척추기립근/코어","","HIP_EXTENSION","HIP|SPINE","DEPRECATED_AFTER_NEW_MAP","HIP_HINGE","","신규 연구","N","EXISTING_SCORE_MIGRATED","6","lu_27b4a0df1d|lu_a18a644473|lu_a7dd63adb6|lu_a9651bd8d7|lu_d967354bce|lu_ff559f42cd","jc_209871f411|jc_ae763d5994","tissue_06987e1084|tissue_21a56b379e|tissue_50091b2878|tissue_7f007308a0|tissue_bacab6a4b8|tissue_e4bd028575|tissue_ea550bfa51|tissue_f41bde5976","6","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","케이블을 다리 사이로 잡고 엉덩이를 뒤로 보냈다가 편다. 허리보다 둔근과 햄스트링으로 마무리한다."
"116","UPPER_95","ex_4c779df2","케이블 플라이","UPPER","근력운동","PUSH","CHEST_FLY|CHEST_ACCESSORY|SHOULDER_HORIZONTAL_ADDUCTION","ACCESSORY","BILATERAL","TRANSVERSE","케이블","대흉근","전면삼각근/코어","SCAPULAR_CONTROL_LIGHT","","SHOULDER","DEPRECATED_AFTER_NEW_MAP","CHEST_FLY","체스트 플라이","운동군 전이","N","SCORED_RESEARCH_DRAFT","14","lu_0a858e59a0|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_63101fe8b2|lu_6573d7bf8a|lu_889f90c55d|lu_8df6cfe570|lu_9244162017|lu_a706efdddb|lu_bdb58738eb|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_36333205dc|tissue_514b348f95|tissue_5a54f92c2b|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_7c9fa6743b|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aadec158d8|tissue_ae1c99e3b2|tissue_b30624a2b0|tissue_ba1d866e61|tissue_c60f2bd1f5|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e8f0be87e6|tissue_e9120f4563|tissue_ed3eafe58e|tissue_fcc58a85e8","14","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","케이블을 양손으로 모아 가슴을 수축한다. 프레스 후 가슴 볼륨을 보완하는 고립운동이다."
"117","UPPER_95","ex_b69ab702","크로스바디 해머 컬","UPPER","근력운동","ISOLATION","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","ACCESSORY","BILATERAL","SAGITTAL","덤벨","상완요골근/상완근","이두근/전완근","","","ELBOW|WRIST","DEPRECATED_AFTER_NEW_MAP","CURL_NEUTRAL","중립그립 해머 컬","운동군 전이","N","SCORED_RESEARCH_DRAFT","11","lu_0fff8b2ee4|lu_1b115c8b4f|lu_52a0b0ba44|lu_6573d7bf8a|lu_8af4d2c3e7|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_c738cc0a37|lu_dec56c15d8|lu_e11d5f58a5","jc_0876f954f2|jc_6e7ae18e56|jc_7ac0533b9d|jc_eadfb381fa","tissue_1e675db416|tissue_21f8300cc1|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_4360531007|tissue_45c03145ee|tissue_4608205e92|tissue_5a830323a8|tissue_6ab8c8af59|tissue_8e5c3b2414|tissue_a19cc622c3|tissue_a5051659e6|tissue_af7cdbd941|tissue_ba1d866e61|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_e30af10e4a|tissue_fcc58a85e8","11","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","덤벨을 반대쪽 가슴 방향으로 들어 올린다. 팔 두께와 전완 보조 힘을 함께 기른다."
"118","UPPER_95","ex_27b3deb5","클로즈그립 벤치프레스","UPPER","근력운동","PUSH","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","BILATERAL","TRANSVERSE","바벨|벤치","삼두근/대흉근","전면삼각근","SCAPULAR_CONTROL_LIGHT","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","BENCH_CLOSE","클로즈그립 수평 프레스","대표 연구","Y","RESEARCH_CORRECTED_V0.2","15","lu_0a858e59a0|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_63101fe8b2|lu_6573d7bf8a|lu_889f90c55d|lu_8df6cfe570|lu_9244162017|lu_a706efdddb|lu_bdb58738eb|lu_c11995f705|lu_c8bfbfac3b|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_36333205dc|tissue_514b348f95|tissue_5a54f92c2b|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_7c9fa6743b|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aabc5cfcea|tissue_aadec158d8|tissue_ae1c99e3b2|tissue_b30624a2b0|tissue_ba1d866e61|tissue_c60f2bd1f5|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e8f0be87e6|tissue_e9120f4563|tissue_ed3eafe58e|tissue_fcc58a85e8","15","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","일반 벤치보다 손 간격을 좁혀 밀어 올린다. 손목과 어깨가 불편하면 간격을 조금 넓혀 조절한다."
"119","LOWER_90","ex_885b629","킥스탠스 RDL","LOWER","근력운동","HINGE","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","UNILATERAL","SAGITTAL","바벨|덤벨","햄스트링/둔근","척추기립근/골반안정근","","HIP_EXTENSION|PELVIC_STABILITY","HIP|SPINE","DEPRECATED_AFTER_NEW_MAP","HIP_HINGE","","신규 연구","N","EXISTING_SCORE_MIGRATED","7","lu_27b4a0df1d|lu_348ac6b7a6|lu_a18a644473|lu_a7dd63adb6|lu_a9651bd8d7|lu_d967354bce|lu_ff559f42cd","jc_209871f411|jc_ae763d5994","tissue_06987e1084|tissue_1eaf4d14d8|tissue_21a56b379e|tissue_50091b2878|tissue_7f007308a0|tissue_bacab6a4b8|tissue_c9d3826a11|tissue_e4bd028575|tissue_ea550bfa51|tissue_f41bde5976","7","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier. 템포 지속시간은 필요 시 별도 duration modifier.","1781278881407","한쪽 발을 뒤꿈치 보조로 두고 앞다리 중심으로 힙힌지를 한다. 싱글 레그 RDL보다 안정적으로 좌우 차이를 본다."
"120","UPPER_95","ex_fa570291","트라이셉스 푸시다운","UPPER","근력운동","ISOLATION","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY","ACCESSORY","BILATERAL","SAGITTAL","케이블","삼두근","전완근","SHOULDER_STABILITY_LIGHT","","ELBOW|SHOULDER","DEPRECATED_AFTER_NEW_MAP","TRICEPS_PUSHDOWN","중립자세 팔꿈치 신전","대표 연구","Y","SCORED_RESEARCH_DRAFT","5","lu_63101fe8b2|lu_6573d7bf8a|lu_a706efdddb|lu_c11995f705|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_eadfb381fa","tissue_1e675db416|tissue_5a830323a8|tissue_7c9fa6743b|tissue_8e5c3b2414|tissue_a19cc622c3|tissue_ba1d866e61|tissue_c60f2bd1f5|tissue_e1c9db452e|tissue_e30af10e4a|tissue_fcc58a85e8","5","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","케이블 바나 로프를 아래로 밀어 삼두근을 수축한다. 팔 볼륨을 위한 기본 삼두 고립운동이다."
"121","UPPER_95","ex_3caa236b","파이크 푸시업","UPPER","근력운동","PUSH","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","BILATERAL","SAGITTAL","맨몸","전면삼각근/측면삼각근","삼두근/상부승모근/코어","SCAPULAR_UPWARD_ROTATION|ROTATOR_CUFF_SUPPORT","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","PIKE_PUSHUP","파이크 푸시업","대표 연구","Y","SCORED_RESEARCH_DRAFT","18","lu_0a858e59a0|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_63101fe8b2|lu_6e950505da|lu_8df6cfe570|lu_9244162017|lu_9cf6b4fc69|lu_9db157ba90|lu_a706efdddb|lu_bdb58738eb|lu_c8bfbfac3b|lu_d5838e52ca|lu_dec56c15d8|lu_f037b5f8ea|lu_fb7a2d91e6","jc_5c5aab6f67|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_34a9253eea|tissue_36333205dc|tissue_514b348f95|tissue_5a830323a8|tissue_5b2967ff08|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_7c9fa6743b|tissue_8d017eed91|tissue_8e5c3b2414|tissue_95b1b0da1b|tissue_976c1a9c26|tissue_9ab4c9cc90|tissue_a19cc622c3|tissue_aabc5cfcea|tissue_aadec158d8|tissue_ae1c99e3b2|tissue_b30624a2b0|tissue_bb60f64b7d|tissue_c1250f12e6|tissue_caedb51e8e|tissue_e30af10e4a|tissue_e8f0be87e6|tissue_e9120f4563|tissue_ed3eafe58e","18","SMOOTH_CYCLE","BODYWEIGHT_REPETITION","유효체중·회","0.70 × bodyWeight × reps × sets × ROM × effortModifier","1781278881407","엉덩이를 높이고 머리가 바닥 쪽으로 내려가게 밀어낸다. 맨몸으로 오버헤드 프레스 패턴을 연습한다."
"122","UPPER_95","face_pull","페이스풀","UPPER","근력운동","PULL","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION|EXTERNAL_ROTATION_SUPPORT","ACCESSORY","BILATERAL","TRANSVERSE","케이블","후면삼각근/하부승모근","회전근개/능형근","SCAPULAR_RETRACTION|ROTATOR_CUFF_SUPPORT","","SHOULDER","DEPRECATED_AFTER_NEW_MAP","REAR_DELT","후면삼각근·견갑 후인","대표 연구","Y","RESEARCH_CORRECTED_V0.2","13","lu_0a858e59a0|lu_0fff8b2ee4|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_6573d7bf8a|lu_8af4d2c3e7|lu_8df6cfe570|lu_a706efdddb|lu_c11995f705|lu_c8bfbfac3b|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_2e1ef7f7e0|tissue_36333205dc|tissue_4360531007|tissue_514b348f95|tissue_5a830323a8|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aabc5cfcea|tissue_b30624a2b0|tissue_ba1d866e61|tissue_c1221f5e4e|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_fcc58a85e8","13","SMOOTH_CYCLE","WEIGHTED_REPETITION","유효중량·회","effectiveLoad × reps × sets × ROM × effortModifier","1781278881407","페이스풀: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 후면삼각근/하부승모근이고, 회전근개/능형근이 흔들리지 않게 보조한다."
"123","UPPER_95","ex_28902b13","푸시업","UPPER","근력운동","PUSH","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","BILATERAL","TRANSVERSE","맨몸","대흉근","삼두근/전면삼각근/코어","SCAPULAR_CONTROL_LIGHT","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","PUSHUP_STANDARD","표준 푸시업","대표 연구","Y","SCORED_RESEARCH_DRAFT","13","lu_0a858e59a0|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_63101fe8b2|lu_889f90c55d|lu_8df6cfe570|lu_9244162017|lu_a706efdddb|lu_bdb58738eb|lu_d5838e52ca|lu_dec56c15d8|lu_fb7a2d91e6","jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_36333205dc|tissue_514b348f95|tissue_5a54f92c2b|tissue_5a830323a8|tissue_5b2967ff08|tissue_602356a435|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_7c9fa6743b|tissue_8e5c3b2414|tissue_976c1a9c26|tissue_a19cc622c3|tissue_aadec158d8|tissue_ae1c99e3b2|tissue_b30624a2b0|tissue_e30af10e4a|tissue_e8f0be87e6|tissue_e9120f4563|tissue_ed3eafe58e","13","SMOOTH_CYCLE","BODYWEIGHT_REPETITION","유효체중·회","0.70 × bodyWeight × reps × sets × ROM × effortModifier","1781278881407","푸시업: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 대흉근이고, 삼두근/전면삼각근/코어이 흔들리지 않게 보조한다."
"124","UPPER_95","pull_up","풀업","UPPER","근력운동","PULL","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","STRENGTH","BILATERAL","FRONTAL","맨몸","광배근","이두근/코어","SCAPULAR_DEPRESSION|SCAPULAR_RETRACTION","","SHOULDER|ELBOW","DEPRECATED_AFTER_NEW_MAP","VERTICAL_PULL_BODYWEIGHT","맨몸 수직 당기기","대표 연구","Y","RESEARCH_CORRECTED_V0.2","21","lu_0a858e59a0|lu_0fff8b2ee4|lu_1b115c8b4f|lu_211533cb7a|lu_3298f78330|lu_3e640e59e9|lu_3f748b96b1|lu_4a4649760b|lu_52a0b0ba44|lu_641c50bab9|lu_6573d7bf8a|lu_6e950505da|lu_8af4d2c3e7|lu_8df6cfe570|lu_9cf6b4fc69|lu_9db157ba90|lu_a706efdddb|lu_b929d8ffe5|lu_c11995f705|lu_d5838e52ca|lu_dec56c15d8","jc_0876f954f2|jc_5c5aab6f67|jc_6e7ae18e56|jc_9caf42a031|jc_eadfb381fa|jc_ffd0b0e192","tissue_1e675db416|tissue_228c25da18|tissue_2e1ef7f7e0|tissue_34a9253eea|tissue_36333205dc|tissue_4360531007|tissue_45c03145ee|tissue_514b348f95|tissue_5a830323a8|tissue_5e2ccec798|tissue_602356a435|tissue_6ab8c8af59|tissue_70a3bb1152|tissue_7b4b07fabb|tissue_86a1e65e56|tissue_8d017eed91|tissue_8e5c3b2414|tissue_95b1b0da1b|tissue_976c1a9c26|tissue_9ab4c9cc90|tissue_a19cc622c3|tissue_a5051659e6|tissue_b30624a2b0|tissue_ba1d866e61|tissue_bda5f6c880|tissue_c1221f5e4e|tissue_c1250f12e6|tissue_c60f2bd1f5|tissue_c98e4f0e0c|tissue_caedb51e8e|tissue_e1c9db452e|tissue_e30af10e4a|tissue_e9120f4563|tissue_ed3eafe58e|tissue_ee46bd1740|tissue_fcc58a85e8","21","SMOOTH_CYCLE","BODYWEIGHT_REPETITION","유효체중·회","1.00 × bodyWeight × reps × sets × ROM × effortModifier","1781278881407","풀업: 자세와 관절 정렬을 유지한 채 반복한다. 주동근은 광배근이고, 이두근/코어이 흔들리지 않게 보조한다."
