exerciseStableKey,exerciseNameKo,identityStatus,transferLevel,transferTypeCodes,skillTargetCodes,physicalQualityCodes,courtMovementTypeCodes,transferConfidence,sourceStableKey,inheritanceSourceStableKey,identityResolution,reviewStatus,evidenceSource,provenance,notes
ex_389920ab,글루트 브릿지,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,ex_389920ab,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_389e0556,원암 덤벨 벤치프레스,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_389e0556,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_3a7d3eda,덤벨 벤치프레스,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_3a7d3eda,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_3c3692aa,케이블 원암 로우,SELECTABLE_CANONICAL,SUPPORTIVE,SHOULDER_SCAPULAR_SUPPORTIVE,DRIVE|OVERHEAD_CLEAR,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_3c3692aa,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_3caa236b,파이크 푸시업,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_3caa236b,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_3d5719de,원암 케이블 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_3d5719de,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_3f184ef9,버피,SELECTABLE_CANONICAL,GENERAL,GENERAL_CONDITIONING_SUPPORTIVE,NONE,AEROBIC_BASE|ANAEROBIC_REPEATABILITY,NONE,LOW,ex_3f184ef9,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_40fa57be,원암 케이블 하이 로우,SELECTABLE_CANONICAL,SUPPORTIVE,SHOULDER_SCAPULAR_SUPPORTIVE,DRIVE|OVERHEAD_CLEAR,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_40fa57be,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_421ba24b,좌우 랜덤 콕줍기,SELECTABLE_CANONICAL,DIRECT,FOOTWORK_DIRECT|LUNGE_REACH_DIRECT|REACTION_DECISION_DIRECT,DEFENSIVE_COVERAGE|FIRST_STEP|FRONT_COURT_LUNGE|LATERAL_LUNGE|SPLIT_STEP,DECELERATION|HIP_CONTROL|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|FIRST_STEP|LATERAL_MOVE|MULTI_DIRECTION|REACTION_RANDOM|RECOVERY_STEP,HIGH,ex_421ba24b,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_4255e429,앞뒤 랜덤 콕줍기,SELECTABLE_CANONICAL,DIRECT,FOOTWORK_DIRECT|LUNGE_REACH_DIRECT|REACTION_DECISION_DIRECT,DEFENSIVE_COVERAGE|FIRST_STEP|FRONT_COURT_LUNGE|LATERAL_LUNGE|SPLIT_STEP,DECELERATION|HIP_CONTROL|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|RECOVERY_STEP,HIGH,ex_4255e429,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_442617f6,원암 케이블 플라이,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_442617f6,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_462c760e,체스트 서포티드 원암 머신 로우,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_462c760e,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_4773b6ea,린단 참고 트랙 스프린트,SELECTABLE_CANONICAL,GENERAL,GENERAL_CONDITIONING_SUPPORTIVE,NONE,ACCELERATION|ANAEROBIC_REPEATABILITY,NONE,LOW,ex_4773b6ea,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_4aa3725a,머신 숄더프레스,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_4aa3725a,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_4c76dbb2,케이블 풀스루,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,ex_4c76dbb2,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_4c779df2,케이블 플라이,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_4c779df2,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_5004ca76,린단 참고 페이스 체인지 풋워크,SELECTABLE_CANONICAL,DIRECT,CHANGE_OF_DIRECTION_DIRECT|FOOTWORK_DIRECT|REACTION_DECISION_DIRECT,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP,ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|RECOVERY_STEP,HIGH,ex_5004ca76,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_5322f2d1,원암 케이블 트라이셉스 푸시다운,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_5322f2d1,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_5c8751d2,시티드 카프 레이즈,SELECTABLE_CANONICAL,SUPPORTIVE,ANKLE_CALF_SSC_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP|SPLIT_STEP,ACCELERATION|ANKLE_STIFFNESS|CALF_ELASTICITY,NONE,MEDIUM,ex_5c8751d2,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_5ca7133f,원레그 카프 레이즈,SELECTABLE_CANONICAL,SUPPORTIVE,ANKLE_CALF_SSC_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP|SPLIT_STEP,ACCELERATION|ANKLE_STIFFNESS|CALF_ELASTICITY,NONE,MEDIUM,ex_5ca7133f,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_6232f4bc,박스 스텝업,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_6232f4bc,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_64422511,랜덤 방향전환 드릴,SELECTABLE_CANONICAL,DIRECT,CHANGE_OF_DIRECTION_DIRECT|FOOTWORK_DIRECT|REACTION_DECISION_DIRECT,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP,ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|RECOVERY_STEP,HIGH,ex_64422511,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_644e0f9d,V업,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,CORE_BRACING,NONE,LOW,ex_644e0f9d,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_6463edad,딥스,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_6463edad,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_64644b5e,런지,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_64644b5e,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_64661229,월싯,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,ex_64661229,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_6466fe77,친업,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_6466fe77,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_681d9ed2,러닝,SELECTABLE_CANONICAL,GENERAL,GENERAL_CONDITIONING_SUPPORTIVE,NONE,AEROBIC_BASE|ANAEROBIC_REPEATABILITY,NONE,LOW,ex_681d9ed2,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_681eed4a,수영,SELECTABLE_CANONICAL,GENERAL,GENERAL_CONDITIONING_SUPPORTIVE,NONE,AEROBIC_BASE|ANAEROBIC_REPEATABILITY,NONE,LOW,ex_681eed4a,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_69a56484,래터럴 스텝다운,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_69a56484,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_6a966452,체스트 서포티드 원암 덤벨 로우,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_6a966452,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_704cbf1a,덤벨 스텝업,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_704cbf1a,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_708e64ce,덤벨 풀오버,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_708e64ce,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_70f19bf,리닝 래터럴 레이즈,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_70f19bf,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_721f7b5b,힙 쓰러스트,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,ex_721f7b5b,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_728da646,힙 어브덕션,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_728da646,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_72f11dc5,덤벨 리스트 익스텐션,SELECTABLE_CANONICAL,SUPPORTIVE,GRIP_WRIST_SUPPORTIVE,DRIVE|NET_PLAY,GRIP_ENDURANCE,NONE,LOW,ex_72f11dc5,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_73b0b63f,아처 푸시업,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SHOULDER_DURABILITY,NONE,LOW,ex_73b0b63f,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_7404067c,케틀벨 스윙,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,ACCELERATION|DECELERATION|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|REACTIVE_AGILITY,NONE,MEDIUM,ex_7404067c,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_74c2d13b,계단 오르기,SELECTABLE_CANONICAL,GENERAL,GENERAL_CONDITIONING_SUPPORTIVE,NONE,AEROBIC_BASE|ANAEROBIC_REPEATABILITY,NONE,LOW,ex_74c2d13b,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_752b45ae,멀티셔틀 풋워크,SELECTABLE_CANONICAL,DIRECT,CHANGE_OF_DIRECTION_DIRECT|FOOTWORK_DIRECT|RALLY_CONDITIONING_DIRECT,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|MULTI_SHUTTLE_ENDURANCE|RALLY_TOLERANCE|SPLIT_STEP,ANAEROBIC_REPEATABILITY|ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|RECOVERY_STEP,HIGH,ex_752b45ae,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_767e188e,아놀드 프레스,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_767e188e,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_7814843a,원암 덤벨 숄더프레스,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_7814843a,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_79f3bdbe,덤벨 숄더프레스,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_79f3bdbe,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_7ce96a7a,프론트풋 엘리베이티드 스플릿 스쿼트,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_7ce96a7a,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_7deabeba,리어델트 케이블 플라이,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_7deabeba,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_85b2ac56,원암 덤벨 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_85b2ac56,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_85f12271,원레그 박스 스쿼트,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_85f12271,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_86323ed6,원암 해머 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_86323ed6,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_8633d8db,EZ바 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,GRIP_ENDURANCE,NONE,LOW,ex_8633d8db,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_8824026f,원레그 레그 컬,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,LOW,ex_8824026f,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_8a3800f1,리버스 노르딕 컬,SELECTABLE_CANONICAL,SUPPORTIVE,LOWER_BODY_SUPPORTIVE,CHANGE_OF_DIRECTION|FIRST_STEP,HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE,NONE,MEDIUM,ex_8a3800f1,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_8e4bf08e,Yates Row,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_8e4bf08e,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_8e69fc74,스플릿 스텝 리액션,SELECTABLE_CANONICAL,DIRECT,CHANGE_OF_DIRECTION_DIRECT|FOOTWORK_DIRECT|REACTION_DECISION_DIRECT,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP,ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY|SINGLE_LEG_STABILITY,DECELERATION|REACTION_RANDOM|RECOVERY_STEP,HIGH,ex_8e69fc74,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_91b749b3,플랫 덤벨 플라이,SELECTABLE_CANONICAL,NONE,NONE,NONE,NONE,NONE,NONE,ex_91b749b3,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_91d8430b,30초 반복 스매시 테스트,SELECTABLE_CANONICAL,DIRECT,OVERHEAD_HITTING_DIRECT|RALLY_CONDITIONING_DIRECT,RALLY_TOLERANCE|SMASH,ANAEROBIC_REPEATABILITY|GRIP_ENDURANCE|SHOULDER_DURABILITY,NONE,HIGH,ex_91d8430b,,RETAINED_CANONICAL,PASS,SOURCE_WEAK_BUT_ACCEPTABLE|SOURCE_ACCEPTED_WITH_LIMITATION,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_91f6958d,터키시 겟업,SELECTABLE_CANONICAL,SUPPORTIVE,CORE_STABILITY_SUPPORTIVE,CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE,CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY,NONE,MEDIUM,ex_91f6958d,,RETAINED_CANONICAL,PASS,HEURISTIC_ACCEPTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_93538692,덤벨 래터럴 레이즈,SELECTABLE_CANONICAL,GENERAL,GENERAL_STRENGTH_SUPPORTIVE,NONE,ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY,NONE,LOW,ex_93538692,,RETAINED_CANONICAL,PASS,VERIFIED_FAMILY|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
ex_95028bfe,덤벨 리스트 컬,SELECTABLE_CANONICAL,SUPPORTIVE,GRIP_WRIST_SUPPORTIVE,DRIVE|NET_PLAY,GRIP_ENDURANCE,NONE,LOW,ex_95028bfe,,RETAINED_CANONICAL,PASS,ANATOMY_SUPPORTED|SOURCE_ACCEPTED,CANONICAL_METADATA_PASS3_1,Existing populated badminton source metadata preserved on the retained canonical identity.
