stableKey,exerciseName,identityStatus,sourceStableKey,lineageType,selectable,historyTreatment,movementPattern,jointAction,movementEvent,kineticChain,stabilityDemandLevel,mobilityDemandLevel,equipmentRequirementModel,equipmentCodes,equipmentRequirementGroupId,sourceOrigin,mappingConfidence,identityDecisionStatus,reviewStatus,analysisInheritance,evidence,provenance
ex_28902b13,푸시업,SELECTABLE_CANONICAL,ex_28902b13,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,CLOSED_CHAIN,MODERATE,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_2892da5a,해머 컬,SELECTABLE_CANONICAL,ex_2892da5a,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_ex_2892da5a,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_2a826c82,할로우 바디 홀드,SELECTABLE_CANONICAL,ex_2a826c82,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_BRACE,,,,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_2f3b56d0,테니스,SELECTABLE_CANONICAL,ex_2f3b56d0,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,,,,HIGH,MODERATE,ALL_REQUIRED,TENNIS_BALL|TENNIS_RACKET,eqreq_ex_2f3b56d0,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_30a0e9aa,원암 덤벨 로우,SELECTABLE_CANONICAL,ex_30a0e9aa,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,HIGH,MODERATE,SINGLE,DUMBBELL,eqreq_ex_30a0e9aa,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_314df428,원레그 홉 투 스틱,SELECTABLE_CANONICAL,ex_314df428,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,BOUND|HOP,,DECELERATION|LANDING|STABILIZATION|TAKEOFF,,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_32219f7a,오버헤드 프레스,SELECTABLE_CANONICAL,ex_32219f7a,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,VERTICAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_DOWNWARD_ROTATION|SCAPULAR_UPWARD_ROTATION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,MODERATE,HIGH,SINGLE,BARBELL,eqreq_ex_32219f7a,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_32eb8457,원암 랫풀다운,SELECTABLE_CANONICAL,ex_32eb8457,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,VERTICAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_DEPRESSION|SCAPULAR_ELEVATION|SHOULDER_ABDUCTION|SHOULDER_ADDUCTION,,OPEN_CHAIN,HIGH,MODERATE,SINGLE,CABLE,eqreq_ex_32eb8457,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_33841b88,6코너 풋워크,SELECTABLE_CANONICAL,ex_33841b88,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT|STEP,,ACCELERATION|CHANGE_OF_DIRECTION|DECELERATION,,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_33d2da8e,원암 머신 로우,SELECTABLE_CANONICAL,ex_33d2da8e,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,LOW,MODERATE,SINGLE,ROW_MACHINE,eqreq_ex_33d2da8e,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_34e7d21,래터럴 바운드 투 스틱,SELECTABLE_CANONICAL,ex_34e7d21,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,BOUND,,DECELERATION|LANDING|STABILIZATION|TAKEOFF,,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_377448a9,스플릿 스텝 후 좌우 런지,SELECTABLE_CANONICAL,ex_377448a9,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HOP|LUNGE|STEP,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,LANDING|REBOUND|TAKEOFF,CLOSED_CHAIN,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_389920ab,글루트 브릿지,SELECTABLE_CANONICAL,ex_389920ab,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,HIP_EXTENSION|HIP_FLEXION,,CLOSED_CHAIN,LOW,LOW,SINGLE,BARBELL,eqreq_ex_389920ab,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_389e0556,원암 덤벨 벤치프레스,SELECTABLE_CANONICAL,ex_389e0556,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,HIGH,MODERATE,ALL_REQUIRED,BENCH|DUMBBELL,eqreq_ex_389e0556,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_3a7d3eda,덤벨 벤치프레스,SELECTABLE_CANONICAL,ex_3a7d3eda,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,MODERATE,MODERATE,ALL_REQUIRED,BENCH|DUMBBELL,eqreq_ex_3a7d3eda,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_3c3692aa,케이블 원암 로우,SELECTABLE_CANONICAL,ex_3c3692aa,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,HIGH,MODERATE,SINGLE,CABLE,eqreq_ex_3c3692aa,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_3caa236b,파이크 푸시업,SELECTABLE_CANONICAL,ex_3caa236b,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,VERTICAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_DOWNWARD_ROTATION|SCAPULAR_UPWARD_ROTATION|SHOULDER_EXTENSION|SHOULDER_FLEXION|SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,CLOSED_CHAIN,MODERATE,HIGH,NONE,,,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_3d5719de,원암 케이블 컬,SELECTABLE_CANONICAL,ex_3d5719de,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,CABLE,eqreq_ex_3d5719de,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_3f184ef9,버피,SELECTABLE_CANONICAL,ex_3f184ef9,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PUSH|JUMP|SQUAT,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|ELBOW_EXTENSION|ELBOW_FLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION|SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,LANDING|TAKEOFF,CLOSED_CHAIN,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_40fa57be,원암 케이블 하이 로우,SELECTABLE_CANONICAL,ex_40fa57be,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,HIGH,MODERATE,SINGLE,CABLE,eqreq_ex_40fa57be,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_421ba24b,좌우 랜덤 콕줍기,SELECTABLE_CANONICAL,ex_421ba24b,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT|SHUFFLE_CHASSE|STEP,,ACCELERATION|CHANGE_OF_DIRECTION|DECELERATION,,HIGH,MODERATE,SINGLE,SHUTTLECOCKS,eqreq_ex_421ba24b,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_4255e429,앞뒤 랜덤 콕줍기,SELECTABLE_CANONICAL,ex_4255e429,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT|STEP,,ACCELERATION|CHANGE_OF_DIRECTION|DECELERATION,,HIGH,MODERATE,SINGLE,SHUTTLECOCKS,eqreq_ex_4255e429,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_442617f6,원암 케이블 플라이,SELECTABLE_CANONICAL,ex_442617f6,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,LOW,LOW,SINGLE,CABLE,eqreq_ex_442617f6,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_462c760e,체스트 서포티드 원암 머신 로우,SELECTABLE_CANONICAL,ex_462c760e,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,LOW,MODERATE,SINGLE,ROW_MACHINE,eqreq_ex_462c760e,WORKBOOK_CANONICAL,LOW,,REVIEW_REQUIRED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_4773b6ea,린단 참고 트랙 스프린트,SELECTABLE_CANONICAL,ex_4773b6ea,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT,,ACCELERATION,,MODERATE,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_4aa3725a,머신 숄더프레스,SELECTABLE_CANONICAL,ex_4aa3725a,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,VERTICAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_DOWNWARD_ROTATION|SCAPULAR_UPWARD_ROTATION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,LOW,MODERATE,SINGLE,SHOULDER_PRESS_MACHINE,eqreq_ex_4aa3725a,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_4c76dbb2,케이블 풀스루,SELECTABLE_CANONICAL,ex_4c76dbb2,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HINGE,HIP_EXTENSION|HIP_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,CABLE,eqreq_ex_4c76dbb2,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_4c779df2,케이블 플라이,SELECTABLE_CANONICAL,ex_4c779df2,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,SHOULDER_HORIZONTAL_ABDUCTION|SHOULDER_HORIZONTAL_ADDUCTION,,OPEN_CHAIN,LOW,LOW,SINGLE,CABLE,eqreq_ex_4c779df2,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_5004ca76,린단 참고 페이스 체인지 풋워크,SELECTABLE_CANONICAL,ex_5004ca76,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT|STEP,,ACCELERATION|CHANGE_OF_DIRECTION|DECELERATION,,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_516f4456,스파이더 컬,HISTORY_ONLY_GENERIC,ex_516f4456,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT,,,,,,HISTORICAL_GENERIC,EZ바|덤벨|벤치|콘/마커,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_516f4456
ex_5322f2d1,원암 케이블 트라이셉스 푸시다운,SELECTABLE_CANONICAL,ex_5322f2d1,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,ELBOW_EXTENSION|ELBOW_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,CABLE,eqreq_ex_5322f2d1,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_5c8751d2,시티드 카프 레이즈,SELECTABLE_CANONICAL,ex_5c8751d2,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION,,CLOSED_CHAIN,LOW,MODERATE,SINGLE,SEATED_CALF_RAISE_MACHINE,eqreq_ex_5c8751d2,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_5ca7133f,원레그 카프 레이즈,SELECTABLE_CANONICAL,ex_5ca7133f,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION,,CLOSED_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_ex_5ca7133f,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_6232f4bc,박스 스텝업,SELECTABLE_CANONICAL,ex_6232f4bc,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,SQUAT|STEP,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,BOX_STEP,eqreq_ex_6232f4bc,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_64422511,랜덤 방향전환 드릴,SELECTABLE_CANONICAL,ex_64422511,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT|STEP,,CHANGE_OF_DIRECTION|DECELERATION,,HIGH,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_644e0f9d,V업,SELECTABLE_CANONICAL,ex_644e0f9d,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,TRUNK_FLEXION,HIP_EXTENSION|HIP_FLEXION|LUMBAR_EXTENSION|LUMBAR_FLEXION|THORACIC_EXTENSION|THORACIC_FLEXION,,OPEN_CHAIN,MODERATE,MODERATE,NONE,,,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_6463edad,딥스,SELECTABLE_CANONICAL,ex_6463edad,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,VERTICAL_PUSH,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_DOWNWARD_ROTATION|SCAPULAR_UPWARD_ROTATION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,PARALLEL_BARS,eqreq_ex_6463edad,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_64644b5e,런지,SELECTABLE_CANONICAL,ex_64644b5e,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,LUNGE,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,DUMBBELL,eqreq_ex_64644b5e,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_64661229,월싯,SELECTABLE_CANONICAL,ex_64661229,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,,,CLOSED_CHAIN,LOW,LOW,SINGLE,WALL,eqreq_ex_64661229,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_6466fe77,친업,SELECTABLE_CANONICAL,ex_6466fe77,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,VERTICAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_DEPRESSION|SCAPULAR_ELEVATION|SHOULDER_ABDUCTION|SHOULDER_ADDUCTION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,PULL_UP_BAR,eqreq_ex_6466fe77,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_681d9ed2,러닝,SELECTABLE_CANONICAL,ex_681d9ed2,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,GAIT,,,,MODERATE,MODERATE,NONE,,,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_681eed4a,수영,SELECTABLE_CANONICAL,ex_681eed4a,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,,,,MODERATE,HIGH,SINGLE,SWIMMING_POOL,eqreq_ex_681eed4a,WORKBOOK_CANONICAL,MEDIUM,,REVIEW_RECOMMENDED,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_69a56484,래터럴 스텝다운,SELECTABLE_CANONICAL,ex_69a56484,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,SQUAT|SHUFFLE_CHASSE|STEP,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,SINGLE,BOX_STEP,eqreq_ex_69a56484,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_6a966452,체스트 서포티드 원암 덤벨 로우,SELECTABLE_CANONICAL,ex_6a966452,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,HORIZONTAL_PULL,ELBOW_EXTENSION|ELBOW_FLEXION|SCAPULAR_PROTRACTION|SCAPULAR_RETRACTION|SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,HIGH,MODERATE,ALL_REQUIRED,BENCH|DUMBBELL,eqreq_ex_6a966452,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_704cbf1a,덤벨 스텝업,SELECTABLE_CANONICAL,ex_704cbf1a,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,SQUAT|STEP,ANKLE_DORSIFLEXION|ANKLE_PLANTARFLEXION|HIP_EXTENSION|HIP_FLEXION|KNEE_EXTENSION|KNEE_FLEXION,,CLOSED_CHAIN,MODERATE,MODERATE,ALL_REQUIRED,BOX_STEP|DUMBBELL,eqreq_ex_704cbf1a,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_708e64ce,덤벨 풀오버,SELECTABLE_CANONICAL,ex_708e64ce,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,SHOULDER_EXTENSION|SHOULDER_FLEXION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_ex_708e64ce,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_70f19bf,리닝 래터럴 레이즈,SELECTABLE_CANONICAL,ex_70f19bf,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,SHOULDER_ABDUCTION|SHOULDER_ADDUCTION,,OPEN_CHAIN,LOW,LOW,SINGLE,DUMBBELL,eqreq_ex_70f19bf,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
ex_7176cbee,리어델트 플라이,HISTORY_ONLY_GENERIC,ex_7176cbee,SOURCE_GENERIC_HISTORY,NO,PRESERVE_GENERIC_HISTORY; DO_NOT_INFER_VARIANT,SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION,,,,,,HISTORICAL_GENERIC,덤벨|케이블,,training_settings_seed.csv + equipment_variant_split_plan.csv,,,HISTORY_ONLY,SOURCE_PROFILE_FOR_APPROVED_VARIANTS,MUSCLE_TISSUE_OFI_INHERITED_UNCHANGED_FROM_GENERIC_SOURCE,FINAL_CLOSEOUT_SPLIT_FROM_ex_7176cbee
ex_721f7b5b,힙 쓰러스트,SELECTABLE_CANONICAL,ex_721f7b5b,RETAINED_CANONICAL,YES,EXISTING_STABLE_KEY_HISTORY_PRESERVED,,HIP_EXTENSION|HIP_FLEXION,,CLOSED_CHAIN,LOW,LOW,SINGLE,BARBELL,eqreq_ex_721f7b5b,WORKBOOK_CANONICAL,HIGH,,DRAFT_READY,SOURCE_METADATA_UNCHANGED,Final canonical reconciliation source row,FINAL_CLOSEOUT_2026-08-04
