exerciseStableKey,exerciseName,recoveryDecayProfile,recoveryDurationClass,stressMagnitudeHint,sourceStableKey,provenanceStatus,sourceStatus,provenance
ex_c6d9efef,스플릿 스텝,MEDIUM,MEDIUM,MODERATE,ex_c6d9efef,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_c7977dfd,6코너 풋워크 최대반복 테스트,LONG,LONG,HIGH,ex_c7977dfd,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_c8bcf3ce,리버스 런지,LONG,LONG,HIGH,ex_c8bcf3ce,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_ca5cce66,스트레이트암 풀다운,SHORT,SHORT,LOW,ex_ca5cce66,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_cb3c4dc2,맨몸 스쿼트,SHORT,SHORT,LOW,ex_cb3c4dc2,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_d5048362,인클라인 덤벨 컬,SHORT,SHORT,LOW,ex_d5048362,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_d5bdffe1,데드버그,SHORT,SHORT,LOW,ex_d5bdffe1,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_d60745b4,원레그 레그 익스텐션,SHORT,SHORT,LOW,ex_d60745b4,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_d6726746,드롭 점프,LONG,LONG,HIGH,ex_d6726746,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_d67e5761,피스톨 스쿼트,MEDIUM,MEDIUM,MODERATE,ex_d67e5761,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_d7c90536,로잉머신,MEDIUM,MEDIUM,MODERATE,ex_d7c90536,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_d9e141e4,박스 점프,LONG,LONG,HIGH,ex_d9e141e4,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_da56a4fe,덤벨 킥백,SHORT,SHORT,LOW,ex_da56a4fe,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_dc9e5953,랫풀다운,MEDIUM,MEDIUM,MODERATE,ex_dc9e5953,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_dd16e07a,스트레칭,SHORT,SHORT,LOW,ex_dd16e07a,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_de46b7f6,바벨 로우,MEDIUM,MEDIUM,MODERATE,ex_de46b7f6,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
ex_debf6a8b,다이아몬드 푸시업,SHORT,SHORT,LOW,ex_debf6a8b,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_deca2b61,벤치 딥스,MEDIUM,MEDIUM,HIGH,ex_deca2b61,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_df966b45,점프 런지,LONG,LONG,HIGH,ex_df966b45,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e0b1e364,원암 덤벨 RDL,MEDIUM,MEDIUM,MODERATE,ex_e0b1e364,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e1894690,스캡 풀업,MEDIUM,MEDIUM,MODERATE,ex_e1894690,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e2efd0fe,불가리안 스플릿 스쿼트,MEDIUM,MEDIUM,MODERATE,ex_e2efd0fe,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e3715c0b,워킹 런지,LONG,LONG,HIGH,ex_e3715c0b,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e41e8dcf,중량 친업,LONG,LONG,HIGH,ex_e41e8dcf,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e41f4c2b,중량 풀업,LONG,LONG,HIGH,ex_e41f4c2b,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e465d1e9,포고 점프,LONG,LONG,HIGH,ex_e465d1e9,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e4f911bb,네거티브 풀업,MEDIUM,MEDIUM,MODERATE,ex_e4f911bb,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e709eeda,케이블 컬,SHORT,SHORT,LOW,ex_e709eeda,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e8ff8cfa,밴드 외회전,SHORT,SHORT,LOW,ex_e8ff8cfa,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_e9e97659,핵 스쿼트,LONG,LONG,HIGH,ex_e9e97659,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_eb636bac,원암 케이블 오버헤드 트라이셉스 익스텐션,SHORT,SHORT,LOW,ex_eb636bac,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_ee378da7,스케이터 스쿼트,MEDIUM,MEDIUM,MODERATE,ex_ee378da7,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_f1d31d3d,원레그 핵 스쿼트,LONG,LONG,HIGH,ex_f1d31d3d,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_f2a79d37,스플릿 스쿼트,MEDIUM,MEDIUM,MODERATE,ex_f2a79d37,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_f332aeab,월 드라이브,MEDIUM,MEDIUM,MODERATE,ex_f332aeab,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
ex_f459ad2a,메도우즈 로우,MEDIUM,MEDIUM,MODERATE,ex_f459ad2a,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
ex_f6703b06,덤벨 프로네이션/수피네이션,SHORT,SHORT,LOW,ex_f6703b06,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_f6d43398,사이드 플랭크,SHORT,SHORT,LOW,ex_f6d43398,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_f97a05ab,월 슬라이드,SHORT,SHORT,LOW,ex_f97a05ab,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_fa2e73b3,핸드스탠드 푸시업,MEDIUM,MEDIUM,HIGH,ex_fa2e73b3,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_fa31f7a6,케이블 로우,MEDIUM,MEDIUM,MODERATE,ex_fa31f7a6,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
ex_fa3416f6,스미스 머신 스쿼트,VERY_LONG,VERY_LONG,VERY_HIGH,ex_fa3416f6,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_fa34ddfe,케이블 킥백,SHORT,SHORT,LOW,ex_fa34ddfe,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_fa570291,트라이셉스 푸시다운,SHORT,SHORT,LOW,ex_fa570291,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_faae2044,인터벌 러닝,LONG,LONG,HIGH,ex_faae2044,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_fb67af37,디클라인 푸시업,SHORT,SHORT,LOW,ex_fb67af37,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ex_fdbdf454,원암 덤벨 오버헤드 트라이셉스 익스텐션,MEDIUM,MEDIUM,MODERATE,ex_fdbdf454,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ez_bar_lying_triceps_extension,EZ바 라잉 트라이셉스 익스텐션,SHORT,SHORT,LOW,ex_d20b7487,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ez_bar_preacher_curl,EZ바 프리처 컬,SHORT,SHORT,LOW,ex_e994008a,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ez_bar_reverse_curl,EZ바 리버스 컬,SHORT,SHORT,LOW,ex_dd2f732e,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
ez_bar_spider_curl,EZ바 스파이더 컬,SHORT,SHORT,LOW,ex_516f4456,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
face_pull,페이스풀,SHORT,SHORT,LOW,face_pull,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
gymnastic_ring_inverted_row,짐내스틱 링 인버티드 로우,MEDIUM,MEDIUM,MODERATE,ex_e159d15a,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
half_kneeling_single_arm_dumbbell_press,하프 닐링 원암 덤벨 프레스,MEDIUM,MEDIUM,MODERATE,half_kneeling_single_arm_dumbbell_press,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
half_kneeling_single_arm_kettlebell_press,하프 닐링 원암 케틀벨 프레스,MEDIUM,MEDIUM,MODERATE,half_kneeling_single_arm_kettlebell_press,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
hip_adduction_machine,힙 어덕션 머신,SHORT,SHORT,LOW,ex_eaea872c,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
kettlebell_farmer_carry,케틀벨 파머스 캐리,MEDIUM,MEDIUM,MODERATE,ex_a1fc4533,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
kettlebell_goblet_squat,케틀벨 고블릿 스쿼트,SHORT,SHORT,LOW,ex_ac7df636,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
kettlebell_halo,케틀벨 헤일로,SHORT,SHORT,LOW,kettlebell_halo,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
kettlebell_single_leg_rdl,케틀벨 원레그 루마니안 데드리프트,MEDIUM,MEDIUM,MODERATE,single_leg_rdl,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
landmine_anti_rotation,랜드마인 안티로테이션,MEDIUM,MEDIUM,MODERATE,landmine_anti_rotation,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
landmine_rotation,랜드마인 좌우 회전,LONG,LONG,HIGH,landmine_rotation,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
lateral_bound_continuous,래터럴 바운드,LONG,LONG,HIGH,lateral_bound_continuous,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
machine_chest_fly,머신 플라이,SHORT,SHORT,LOW,ex_4c779df2,INHERITED_UNCHANGED,SOURCE_ACCEPTED,User-approved machine variant inherited from ex_4c779df2
med_ball_chest_pass,메디신볼 체스트 패스,LONG,LONG,HIGH,med_ball_chest_pass,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
med_ball_overhead_slam,메디신볼 위에서 아래로 슬램,LONG,LONG,HIGH,med_ball_overhead_slam,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
med_ball_rotational_scoop_toss,메디신볼 로테이셔널 스쿱 토스,LONG,LONG,HIGH,med_ball_rotational_scoop_toss,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
med_ball_rotational_slam,메디신볼 회전 아래로 슬램,LONG,LONG,HIGH,med_ball_rotational_slam,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
medicine_ball_rotational_throw,메디신볼 회전 옆으로 던지기,LONG,LONG,HIGH,medicine_ball_rotational_throw,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
medicine_ball_three_step_acceleration_throw,메디신볼 3스텝 가속 던지기,LONG,LONG,HIGH,medicine_ball_three_step_acceleration_throw,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
medicine_ball_three_step_deceleration_throw,메디신볼 3스텝 감속 던지기,LONG,LONG,HIGH,medicine_ball_three_step_deceleration_throw,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
one_arm_gymnastic_ring_row,짐내스틱 링 원암 로우,MEDIUM,MEDIUM,MODERATE,ex_d9084b5e,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
one_arm_suspension_trainer_row,서스펜션 트레이너 원암 로우,MEDIUM,MEDIUM,MODERATE,ex_d9084b5e,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
plate_rotational_press_out,플레이트 로테이셔널 프레스아웃,SHORT,SHORT,LOW,plate_rotational_press_out,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
single_leg_hip_bridge,원레그 힙 브릿지,MEDIUM,MEDIUM,MODERATE,single_leg_hip_bridge,DIRECT_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
standing_bodyweight_calf_raise,맨몸 스탠딩 카프 레이즈,SHORT,SHORT,MODERATE,ex_bd072cd,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
standing_calf_raise_machine,스탠딩 카프 레이즈 머신,SHORT,SHORT,MODERATE,ex_bd072cd,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
standing_dumbbell_calf_raise,덤벨 스탠딩 카프 레이즈,SHORT,SHORT,MODERATE,ex_bd072cd,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
suspension_trainer_inverted_row,서스펜션 트레이너 인버티드 로우,MEDIUM,MEDIUM,MODERATE,ex_e159d15a,INHERITED_FROM_SOURCE,SOURCE_ACCEPTED,canonical runtime metadata asset
vipr_chop,바이퍼 회전 아래로,LONG,LONG,HIGH,vipr_chop,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
vipr_rotational_lift,바이퍼 회전 위로,LONG,LONG,HIGH,vipr_rotational_lift,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
vipr_rotational_press_out,바이퍼 로테이셔널 프레스아웃,MEDIUM,MEDIUM,MODERATE,vipr_rotational_press_out,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
vipr_step_and_rotate,바이퍼 스텝 앤 로테이트,LONG,LONG,HIGH,vipr_step_and_rotate,DIRECT_SOURCE,SOURCE_ACCEPTED_WITH_LIMITATION,canonical runtime metadata asset
