"exerciseName","stableKey","currentCategoryType","estimatedMovementFamily","originalManualReviewRequired","originalSourceIdIssue","originalReasons","individualJudgement","familyJudgement","judgementPriority","rowManualReviewRequired","sourceReviewRequired","templateMissingReviewRequired","stressReviewRequired","sportSessionReviewRequired","sourceOnlyReview","overbroadManualReview","recommendedFamilyCorrection","recommendedSourceAction","recommendedNextAction","safeForTemplateDefault","safeForSeedMutation","notes"
"마운틴 클라이머","ex_a9b52886","category=근력운동; movement_category=CONDITIONING; force_type=MIXED; movement_pattern=FULL_BODY_CONDITIONING|CORE_STABILITY|HIP_FLEXOR_ACCESSORY|SHOULDER_STABILITY_SUPPORT","CARDIO_RECORDS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:B_ACSM_2026_PMID41843416","LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW","수동검토 적절","세부분리 필요","P1","YES","YES","YES","NO","NO","NO","NO","BODYWEIGHT_CONDITIONING_CORE_REVIEW","source 검토 적절","자동 template 반영 금지. sidecar에서 별도 review family로 둬라.","NO","CANDIDATE","CARDIO_RECORDS만으로는 코어/컨디셔닝 성격이 누락될 수 있다."
"맨몸 스쿼트","ex_cb3c4dc2","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","SQUAT_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"머신 숄더프레스","ex_4aa3725a","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다."
"머신 체스트프레스","ex_1dbee10e","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"메도우즈 로우","ex_f459ad2a","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","ROW_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW","수동검토 적절","대체로 적절","P1","YES","YES","NO","NO","NO","NO","NO","","row subtype source 검토 적절","inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.","PARTIAL","NO","ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다."
"바벨 로우","ex_de46b7f6","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","ROW_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW","수동검토 적절","대체로 적절","P1","YES","YES","NO","NO","NO","NO","NO","","row subtype source 검토 적절","inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.","PARTIAL","NO","ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다."
"밴드 외회전","ex_e8ff8cfa","category=근력운동; movement_category=SUPPORT; force_type=ISOLATION; movement_pattern=SHOULDER_EXTERNAL_ROTATION|ROTATOR_CUFF_SUPPORT|SHOULDER_PREHAB","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"버드독","ex_28347c1f","category=근력운동; movement_category=SUPPORT; force_type=CORE; movement_pattern=CORE_STABILITY|ANTI_ROTATION|LUMBOPELVIC_CONTROL|CONTRALATERAL_COORDINATION","ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"벤치 딥스","ex_deca2b61","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL_SUPPORT|TRICEPS_EMPHASIS|CHEST_ACCESSORY","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"벤치프레스","barbell_bench_press","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"슈퍼맨","ex_284ecca6","category=근력운동; movement_category=ACCESSORY; force_type=HINGE; movement_pattern=SPINAL_EXTENSION|POSTERIOR_CHAIN_ACCESSORY|GLUTE_BACK_SUPPORT","POSTERIOR_CHAIN_LOW_LOAD_REVIEW","YES","MISSING_SOURCE_ID","NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW","수동검토 적절","대체로 적절","P1","NO","YES","YES","NO","NO","NO","NO","","source/template 누락 검토 적절","새 template/sourceId를 만든 뒤에만 seed 반영.","NO","NO","새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다."
"스미스 머신 런지","ex_1052e9fa","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","LUNGE_SPLIT_SQUAT_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"스미스 머신 스쿼트","ex_fa3416f6","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","SQUAT_VARIANTS","YES","NO","HIGH_STRESS_SESSION_CLUSTER_REVIEW","수동검토 적절","적절","P1","NO","NO","NO","YES","NO","NO","NO","","해당 없음","session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.","PARTIAL","NO","고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다."
"스캡 풀업","ex_e1894690","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"스쿼트","barbell_back_squat","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","SQUAT_VARIANTS","YES","NO","HIGH_STRESS_SESSION_CLUSTER_REVIEW","수동검토 적절","적절","P1","NO","NO","NO","YES","NO","NO","NO","","해당 없음","session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.","PARTIAL","NO","고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다."
"스탠딩 레그 컬","ex_b59bed7d","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=KNEE_FLEXION|HAMSTRING_STRENGTH","HAMSTRING_CURL_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"스탠딩 카프 레이즈","ex_bd072cd","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=CALF_ANKLE_STRENGTH|ANKLE_STIFFNESS_SUPPORT","CALF_RAISE_ANKLE_STIFFNESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 카프/발목 계열에 badminton lunge source만 쓰는 것은 약하므로 추후 ankle/SSC 근거 보강이 좋다."
"스트레이트암 풀다운","ex_ca5cce66","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_EXTENSION|LAT_ACCESSORY|SCAPULAR_CONTROL","FACE_PULL_LOWER_TRAP_SERRATUS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","SOURCE_REVIEW","수동검토 적절","수정 필요","P0","YES","YES","YES","NO","NO","NO","NO","LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY_REVIEW","source 검토 적절","sidecar 생성 전 family 보정 규칙을 추가하라.","NO","CANDIDATE","현재 FACE_PULL/SCAPULAR 계열은 부정확하다. 광배근/어깨신전 보조 또는 풀오버류로 분리해야 한다."
"스파이더 컬","ex_516f4456","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"스플릿 스쿼트","ex_f2a79d37","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","LUNGE_SPLIT_SQUAT_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"시티드 원암 케이블 로우","ex_a76f20b6","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","ROW_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW","수동검토 적절","대체로 적절","P1","YES","YES","NO","NO","NO","NO","NO","","row subtype source 검토 적절","inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.","PARTIAL","NO","ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다."
"시티드 카프 레이즈","ex_5c8751d2","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=CALF_ANKLE_STRENGTH|ANKLE_STIFFNESS_SUPPORT","CALF_RAISE_ANKLE_STIFFNESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 카프/발목 계열에 badminton lunge source만 쓰는 것은 약하므로 추후 ankle/SSC 근거 보강이 좋다."
"싱글 레그 글루트 브릿지","ex_5715d6ca","category=근력운동; movement_category=SUPPORT; force_type=HINGE; movement_pattern=HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY|PELVIC_STABILITY|UNILATERAL_LOWER","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_REHAB_EMG_PMC3201064","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"싱글 레그 레그 익스텐션","ex_d60745b4","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=KNEE_EXTENSION|QUAD_ISOLATION|UNILATERAL_LOWER","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"싱글 레그 레그 컬","ex_8824026f","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=KNEE_FLEXION|HAMSTRING_STRENGTH","HAMSTRING_CURL_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"싱글 레그 카프 레이즈","ex_5ca7133f","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=CALF_ANKLE_STRENGTH|ANKLE_STIFFNESS_SUPPORT|UNILATERAL_LOWER","CALF_RAISE_ANKLE_STIFFNESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 카프/발목 계열에 badminton lunge source만 쓰는 것은 약하므로 추후 ankle/SSC 근거 보강이 좋다."
"싱글 레그 힙 쓰러스트","ex_d634055c","category=근력운동; movement_category=SUPPORT; force_type=HINGE; movement_pattern=HIP_EXTENSION|GLUTE_STRENGTH|POSTERIOR_CHAIN_ACCESSORY|PELVIC_STABILITY|UNILATERAL_LOWER","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_REHAB_EMG_PMC3201064","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"아놀드 프레스","ex_767e188e","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다."
"아처 푸시업","ex_73b0b63f","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH|UNILATERAL_UPPER|ANTI_ROTATION_SUPPORT","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"오버헤드 트라이셉스 익스텐션","ex_a9e8859c","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|OVERHEAD_ELBOW_EXTENSION|LONG_HEAD_TRICEPS","BICEPS_TRICEPS_ISOLATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
"오버헤드 프레스","ex_32219f7a","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다."
"워킹 런지","ex_e3715c0b","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","LUNGE_SPLIT_SQUAT_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
"원레그 레그 프레스","ex_a091b9fe","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","YES","NO","LOW_OR_MEDIUM_FAMILY_CONFIDENCE","수동검토 적절","대체로 적절 또는 세부분리 필요","P1","YES","NO","NO","NO","NO","NO","NO","","해당 없음","자동 반영하지 말고 subtype/template 확인.","PARTIAL","NO","중간 신뢰도라 row-level review가 맞다."
"원레그 핵 스쿼트","ex_f1d31d3d","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","SQUAT_VARIANTS","YES","NO","HIGH_STRESS_SESSION_CLUSTER_REVIEW","수동검토 적절","적절","P1","NO","NO","NO","YES","NO","NO","NO","","해당 없음","session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.","PARTIAL","NO","고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다."
"원암 덤벨 RDL","ex_e0b1e364","category=근력운동; movement_category=STRENGTH; force_type=HINGE; movement_pattern=HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","DEADLIFT_HINGE_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"원암 덤벨 로우","ex_30a0e9aa","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","ROW_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW","수동검토 적절","대체로 적절","P1","YES","YES","NO","NO","NO","NO","NO","","row subtype source 검토 적절","inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.","PARTIAL","NO","ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다."
"원암 덤벨 벤치프레스","ex_389e0556","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH|UNILATERAL_UPPER|ANTI_ROTATION_SUPPORT","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NO","NO","","NOT_IN_ORIGINAL_MANUAL_SET","NOT_REVIEWED","","NO","NO","NO","NO","NO","NO","NO","","NONE","Retain report-only classification; no manual action required.","YES","NO","No individual judgement row because original manualReviewRequired was NO."
"원암 덤벨 숄더프레스","ex_7814843a","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION|SHOULDER_STABILITY_SUPPORT|TRUNK_STABILITY_SUPPORT|UNILATERAL_UPPER","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다."
"원암 덤벨 오버헤드 트라이셉스 익스텐션","ex_fdbdf454","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY|UNILATERAL_UPPER|OVERHEAD_ELBOW_EXTENSION|LONG_HEAD_TRICEPS","BICEPS_TRICEPS_ISOLATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
"원암 덤벨 컬","ex_85b2ac56","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|UNILATERAL_UPPER","BICEPS_TRICEPS_ISOLATION_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
"원암 랫풀다운","ex_32eb8457","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL|UNILATERAL_UPPER","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","YES","USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924","SOURCE_REVIEW","행 단위 manual review는 과잉","적절","P2","NO","YES","NO","NO","NO","YES","YES","","source-only 검토 적절","family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.","YES","NO","운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다."
