"exerciseName","stableKey","currentCategoryType","currentMovementPattern","currentMovementCategory","currentForceType","currentActivityKind","currentPlanningEligibility","proposedMovementFamily","proposedMovementSubtype","proposedDetailedMuscleTags","proposedMuscleContribution","proposedProgramSlot","proposedRedundancyGroup","proposedProgressMetricType","proposedFatigueProfile","proposedBadmintonTransferDirect","proposedBadmintonTransferSupportive","proposedAnalysisEligibility","proposedEvidenceSourceGroup","proposedEvidenceLevel","metadataConfidenceCandidate","sourceReviewRequired","rowManualReviewRequired","templateMissingReviewRequired","stressReviewRequired","sportSessionReviewRequired","sourceOnlyReview","overbroadManualReview","safeForTemplateDefault","safeForSeedMutation","proposalStatus","proposalReason","recommendedNextAction","notes"
"클로즈그립 벤치프레스","ex_27b3deb5","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","PECTORALIS_MAJOR_STERNAL|PECTORALIS_MAJOR_CLAVICULAR|ANTERIOR_DELTOID|TRICEPS_BRACHII|SERRATUS_ANTERIOR|ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|DEEP_CORE","{""PECTORALIS_MAJOR_STERNAL"":0.3,""PECTORALIS_MAJOR_CLAVICULAR"":0.15,""ANTERIOR_DELTOID"":0.2,""TRICEPS_BRACHII"":0.2,""SERRATUS_ANTERIOR"":0.05,""ROTATOR_CUFF_EXTERNAL"":0.05,""DEEP_CORE"":0.05}","UPPER_PUSH_STRENGTH","HORIZONTAL_PUSH_COMPOUND","VOLUME_LOAD","SYSTEMIC moderate, NEURAL_HEAVY moderate-to-high, LOCAL_MUSCLE","NONE","UPPER_PUSH_CAPACITY, SHOULDER_CONTROL if relevant","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_5|C_BENCH_INCLINE_EMG_PMC7579505|B_ACSM_2009_PMID19204579","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","NO","YES","NO","READY_TEMPLATE_CANDIDATE","Audited family template is complete and no review flag remains.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"킥스탠스 RDL","ex_885b629","category=근력운동; movement_category=STRENGTH; force_type=HINGE; movement_pattern=HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","HIP_HINGE|POSTERIOR_CHAIN_STRENGTH|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","HINGE","EXERCISE","NOT_PRESENT_IN_SEED","DEADLIFT_HINGE_VARIANTS","KICKSTAND_RDL","GLUTE_MAX|HAMSTRINGS|ERECTOR_SPINAE|LATISSIMUS_DORSI|GRIP_FLEXORS|TRAPEZIUS_MIDDLE|DEEP_CORE|GLUTE_MED_MIN|OBLIQUES|RHOMBOIDS","{""GLUTE_MAX"":0.25,""HAMSTRINGS"":0.25,""ERECTOR_SPINAE"":0.2,""LATISSIMUS_DORSI"":0.08,""GRIP_FLEXORS"":0.07,""DEEP_CORE"":0.07,""TRAPEZIUS_MIDDLE"":0.04,""GLUTE_MED_MIN"":0.04}","UNILATERAL_HINGE_ACCESSORY","SINGLE_LEG_HINGE_STABILITY","VOLUME_LOAD","LOCAL_MUSCLE,HIP_STABILITY,LOW_TO_MODERATE_SYSTEMIC","NONE","POSTERIOR_CHAIN_CAPACITY, HIP_STABILITY_SUPPORT","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_6|C_DEADLIFT_EMG_PMC7046193|C_GLUTE_MAX_REVIEW_PMC7039033","anatomy_textbook","NEEDS_REVIEW","NO","YES","NO","NO","NO","NO","NO","PARTIAL","NO","NEEDS_ROW_REVIEW","Unilateral hinge must not inherit heavy hinge slot or redundancy.","CONFIRM_UNILATERAL_HINGE_TEMPLATE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"트라이셉스 푸시다운","ex_fa570291","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY","ELBOW_EXTENSION|TRICEPS_ISOLATION|ARM_ACCESSORY","ACCESSORY","ISOLATION","EXERCISE","NOT_PRESENT_IN_SEED","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","TRICEPS_PUSHDOWN","TRICEPS_BRACHII|TRICEPS_LONG_HEAD|TRICEPS_LATERAL_MEDIAL|FOREARM_STABILIZERS|DEEP_CORE","{""TRICEPS_BRACHII"":0.45,""TRICEPS_LONG_HEAD"":0.20,""TRICEPS_LATERAL_MEDIAL"":0.20,""FOREARM_STABILIZERS"":0.07,""DEEP_CORE"":0.08}","TRICEPS_ACCESSORY","ELBOW_EXTENSION_TRICEPS","VOLUME_LOAD","LOCAL_MUSCLE,ELBOW_EXTENSION,LOW_SYSTEMIC","NONE","UPPER_PUSH_SUPPORT_IF_NEEDED","FATIGUE,HYPERTROPHY_VOLUME,BALANCE","A_OPENSTAX_11_5","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","YES","YES","NO","READY_TEMPLATE_CANDIDATE","Stable elbow-extension template is separated from biceps and forearm rows.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","V2 taxonomy correction draft only. Muscle contribution is an app-internal heuristic, not a physiological measurement. Do not mutate seed without human approval."
"파이크 푸시업","ex_3caa236b","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","ANTERIOR_DELTOID|LATERAL_DELTOID|TRICEPS_BRACHII|PECTORALIS_MAJOR_CLAVICULAR|SERRATUS_ANTERIOR|TRAPEZIUS_UPPER|ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|TRAPEZIUS_LOWER|DEEP_CORE|OBLIQUES","{""ANTERIOR_DELTOID"":0.25,""LATERAL_DELTOID"":0.15,""TRICEPS_BRACHII"":0.2,""PECTORALIS_MAJOR_CLAVICULAR"":0.08,""SERRATUS_ANTERIOR"":0.08,""TRAPEZIUS_UPPER"":0.06,""ROTATOR_CUFF_EXTERNAL"":0.06,""ROTATOR_CUFF_INTERNAL"":0.04,""TRAPEZIUS_LOWER"":0.04,""DEEP_CORE"":0.04}","VERTICAL_PUSH_STRENGTH","VERTICAL_PUSH_OVERHEAD","VOLUME_LOAD","LOCAL_MUSCLE, OVERHEAD_REPETITION, SYSTEMIC moderate, ANTI_ROTATION for unilateral variants","NONE","SHOULDER_DURABILITY, OVERHEAD_POWER_SUPPORT, ANTI_ROTATION_STABILITY","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924"
"페이스풀","face_pull","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION|EXTERNAL_ROTATION_SUPPORT","SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION|EXTERNAL_ROTATION_SUPPORT","ACCESSORY","PULL","EXERCISE","NOT_PRESENT_IN_SEED","FACE_PULL_LOWER_TRAP_SERRATUS_VARIANTS","FACE_PULL","SERRATUS_ANTERIOR|TRAPEZIUS_LOWER|TRAPEZIUS_MIDDLE|POSTERIOR_DELTOID|ROTATOR_CUFF_EXTERNAL|RHOMBOIDS|DEEP_CORE|ROTATOR_CUFF_INTERNAL","{""SERRATUS_ANTERIOR"":0.2,""TRAPEZIUS_LOWER"":0.2,""TRAPEZIUS_MIDDLE"":0.15,""POSTERIOR_DELTOID"":0.15,""ROTATOR_CUFF_EXTERNAL"":0.12,""RHOMBOIDS"":0.08,""DEEP_CORE"":0.05,""ROTATOR_CUFF_INTERNAL"":0.05}","SHOULDER_CARE","SCAPULAR_CONTROL","QUALITY_BASED","LOW_FATIGUE_REHAB, LOCAL_MUSCLE low-to-moderate","NONE","SHOULDER_DURABILITY, OVERHEAD_CONTROL","RECOVERY_ONLY, BALANCE, BADMINTON_TRANSFER if shoulder-care support","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390|D_PHYSIOPEDIA_SCAP_DYSKINESIA","clinical_reference","NEEDS_REVIEW","YES","YES","NO","NO","NO","NO","NO","PARTIAL","CANDIDATE","NEEDS_ROW_REVIEW","Row family or subtype requires explicit human judgement before mutation.","CONFIRM_FAMILY_AND_SUBTYPE","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390"
"푸시업","ex_28902b13","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","PUSH_HORIZONTAL|CHEST_STRENGTH","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","PECTORALIS_MAJOR_STERNAL|PECTORALIS_MAJOR_CLAVICULAR|ANTERIOR_DELTOID|TRICEPS_BRACHII|SERRATUS_ANTERIOR|ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|DEEP_CORE","{""PECTORALIS_MAJOR_STERNAL"":0.3,""PECTORALIS_MAJOR_CLAVICULAR"":0.15,""ANTERIOR_DELTOID"":0.2,""TRICEPS_BRACHII"":0.2,""SERRATUS_ANTERIOR"":0.05,""ROTATOR_CUFF_EXTERNAL"":0.05,""DEEP_CORE"":0.05}","UPPER_PUSH_STRENGTH","HORIZONTAL_PUSH_COMPOUND","VOLUME_LOAD","SYSTEMIC moderate, NEURAL_HEAVY moderate-to-high, LOCAL_MUSCLE","NONE","UPPER_PUSH_CAPACITY, SHOULDER_CONTROL if relevant","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_5|C_BENCH_INCLINE_EMG_PMC7579505|B_ACSM_2009_PMID19204579","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","NO","YES","NO","READY_TEMPLATE_CANDIDATE","Audited family template is complete and no review flag remains.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"풀업","pull_up","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","STRENGTH","PULL","EXERCISE","NOT_PRESENT_IN_SEED","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","PULL_UP","LATISSIMUS_DORSI|TERES_MAJOR|BICEPS_BRACHII|BRACHIALIS|BRACHIORADIALIS|TRAPEZIUS_LOWER|TRAPEZIUS_MIDDLE|GRIP_FLEXORS|DEEP_CORE|ROTATOR_CUFF_EXTERNAL","{""LATISSIMUS_DORSI"":0.32,""TERES_MAJOR"":0.1,""BICEPS_BRACHII"":0.14,""BRACHIALIS"":0.07,""BRACHIORADIALIS"":0.06,""TRAPEZIUS_LOWER"":0.08,""TRAPEZIUS_MIDDLE"":0.06,""GRIP_FLEXORS"":0.08,""DEEP_CORE"":0.05,""ROTATOR_CUFF_EXTERNAL"":0.04}","VERTICAL_PULL_STRENGTH","VERTICAL_PULL_COMPOUND","ESTIMATED_1RM","LOCAL_MUSCLE, NEURAL_HEAVY if weighted, GRIP_FOREARM","NONE","GRIP_FOREARM, SHOULDER_DURABILITY","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Sources need network recheck: C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924"
"프론트 스쿼트","ex_c5043892","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","STRENGTH","LOWER_BODY","EXERCISE","NOT_PRESENT_IN_SEED","SQUAT_VARIANTS","FRONT_SQUAT","QUADRICEPS|RECTUS_FEMORIS|GLUTE_MAX|HAMSTRINGS|ERECTOR_SPINAE|GLUTE_MED_MIN|DEEP_CORE|OBLIQUES|HIP_ADDUCTORS","{""QUADRICEPS"":0.3,""RECTUS_FEMORIS"":0.1,""GLUTE_MAX"":0.25,""HAMSTRINGS"":0.08,""ERECTOR_SPINAE"":0.1,""DEEP_CORE"":0.07,""GLUTE_MED_MIN"":0.05,""HIP_ADDUCTORS"":0.05}","MAIN_LOWER_STRENGTH","SQUAT_PATTERN_HEAVY_LOWER","ESTIMATED_1RM","SYSTEMIC, NEURAL_HEAVY, LOCAL_MUSCLE, HIGH or MODERATE axial load","NONE","LOWER_STRENGTH_SUPPORT, KNEE_CONTROL, HIP_STABILITY_SUPPORT","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_6|B_ACSM_2009_PMID19204579|B_NSCA_ESSENTIALS_5E|C_GLUTE_MAX_REVIEW_PMC7039033","governing_body_resource","LOW","NO","NO","NO","YES","NO","NO","NO","PARTIAL","NO","NEEDS_STRESS_REVIEW","Axial, plyometric, deceleration, SSC, or session stress mapping needs review.","REVIEW_STRESS_AND_RECOVERY_MAPPING","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement."
"프론트풋 엘리베이티드 스플릿 스쿼트","ex_7ce96a7a","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","STRENGTH","LOWER_BODY","EXERCISE","NOT_PRESENT_IN_SEED","LUNGE_SPLIT_SQUAT_VARIANTS","NEEDS_SUBTYPE_REVIEW","QUADRICEPS|RECTUS_FEMORIS|GLUTE_MAX|HAMSTRINGS|HIP_ADDUCTORS|GASTROCNEMIUS|SOLEUS|GLUTE_MED_MIN|DEEP_CORE|OBLIQUES|TIBIALIS_ANTERIOR","{""QUADRICEPS"":0.25,""RECTUS_FEMORIS"":0.1,""GLUTE_MAX"":0.25,""HAMSTRINGS"":0.1,""HIP_ADDUCTORS"":0.08,""GASTROCNEMIUS"":0.05,""SOLEUS"":0.05,""GLUTE_MED_MIN"":0.05,""DEEP_CORE"":0.04,""OBLIQUES"":0.03}","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","VOLUME_LOAD","LOCAL_MUSCLE, SYSTEMIC moderate, DECELERATION if dynamic/lateral/front lunge","LUNGE_REACH for badminton-specific front/lateral lunge drills","HIP_STABILITY_SUPPORT, KNEE_CONTROL","FATIGUE, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER if court-specific, BALANCE","A_OPENSTAX_11_6|E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410"
"프리처 컬","ex_e994008a","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BICEPS_ISOLATION_STRICT","ACCESSORY","ISOLATION","EXERCISE","NOT_PRESENT_IN_SEED","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","PREACHER_CURL","BICEPS_BRACHII|BRACHIALIS|BRACHIORADIALIS|FOREARM_FLEXORS|GRIP_FLEXORS|DEEP_CORE","{""BICEPS_BRACHII"":0.45,""BRACHIALIS"":0.18,""BRACHIORADIALIS"":0.12,""FOREARM_FLEXORS"":0.10,""GRIP_FLEXORS"":0.08,""DEEP_CORE"":0.07}","BICEPS_ACCESSORY","ELBOW_FLEXION_CURL","VOLUME_LOAD","LOCAL_MUSCLE,ELBOW_FLEXION,GRIP_FOREARM_LOW_TO_MODERATE,LOW_SYSTEMIC","NONE","GRIP_FOREARM_SUPPORT_WHEN_MEANINGFUL","FATIGUE,HYPERTROPHY_VOLUME,BADMINTON_TRANSFER,BALANCE","A_OPENSTAX_11_5|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Arm family is corrected; badminton-support source still needs network recheck.","VERIFY_EXISTING_SOURCE_IDS","V2 taxonomy correction draft only. Muscle contribution is an app-internal heuristic, not a physiological measurement. Do not mutate seed without human approval."
"플랫 덤벨 플라이","ex_91b749b3","category=근력운동; movement_category=ACCESSORY; force_type=PUSH; movement_pattern=CHEST_FLY|CHEST_ACCESSORY|SHOULDER_HORIZONTAL_ADDUCTION","CHEST_FLY|CHEST_ACCESSORY|SHOULDER_HORIZONTAL_ADDUCTION","ACCESSORY","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","CHEST_ISOLATION_REVIEW","NEEDS_SUBTYPE_REVIEW","REVIEW","REVIEW","CHEST_ISOLATION_REVIEW","CHEST_ISOLATION_REVIEW","REVIEW","LOCAL_MUSCLE","NONE","UPPER_PUSH_SUPPORT","FATIGUE,HYPERTROPHY_VOLUME,BALANCE","NEEDS_SOURCE_TEMPLATE","heuristic_only","LOW","YES","NO","YES","NO","NO","NO","NO","NO","NO","NEEDS_TEMPLATE_DEFINITION","The proposed review family has no approved family template.","DEFINE_AND_REVIEW_FAMILY_TEMPLATE","Draft only; do not mutate seed without human approval. Subtype intentionally left for review; no broad exercise-name parsing was used. No approved family template; concrete muscle values were not invented."
"할로우 바디 홀드","ex_2a826c82","category=근력운동; movement_category=SUPPORT; force_type=CORE; movement_pattern=CORE_STABILITY|ANTI_EXTENSION|ANTERIOR_CORE","CORE_STABILITY|ANTI_EXTENSION|ANTERIOR_CORE","SUPPORT","CORE","EXERCISE","NOT_PRESENT_IN_SEED","ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS","NEEDS_SUBTYPE_REVIEW","DEEP_CORE|OBLIQUES|RECTUS_ABDOMINIS|GLUTE_MAX|GLUTE_MED_MIN|SERRATUS_ANTERIOR|ERECTOR_SPINAE|ROTATOR_CUFF_EXTERNAL|HIP_ADDUCTORS","{""DEEP_CORE"":0.3,""OBLIQUES"":0.25,""RECTUS_ABDOMINIS"":0.15,""GLUTE_MED_MIN"":0.08,""GLUTE_MAX"":0.07,""SERRATUS_ANTERIOR"":0.05,""ERECTOR_SPINAE"":0.05,""HIP_ADDUCTORS"":0.05}","CORE_STABILITY","TRUNK_ANTI_MOVEMENT","QUALITY_BASED","ANTI_ROTATION, LOCAL_MUSCLE, LOW systemic","NONE","ANTI_ROTATION_STABILITY, TRUNK_CONTROL_SUPPORT","FATIGUE, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_10_2|E_CORE_BADMINTON_META_PMC11168634","anatomy_textbook","HIGH","NO","NO","NO","NO","NO","NO","NO","YES","NO","READY_TEMPLATE_CANDIDATE","Audited family template is complete and no review flag remains.","HUMAN_APPROVE_TEMPLATE_BEFORE_SEED_PATCH","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"해머 컬","ex_2892da5a","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","ACCESSORY","ISOLATION","EXERCISE","NOT_PRESENT_IN_SEED","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","HAMMER_CURL","BRACHIALIS|BRACHIORADIALIS|BICEPS_BRACHII|FOREARM_EXTENSORS|FOREARM_FLEXORS|GRIP_FLEXORS|DEEP_CORE","{""BRACHIALIS"":0.28,""BRACHIORADIALIS"":0.25,""BICEPS_BRACHII"":0.18,""FOREARM_EXTENSORS"":0.10,""FOREARM_FLEXORS"":0.08,""GRIP_FLEXORS"":0.07,""DEEP_CORE"":0.04}","BRACHIALIS_FOREARM_ACCESSORY","ELBOW_FLEXION_NEUTRAL_PRONATED_CURL","VOLUME_LOAD","LOCAL_MUSCLE,ELBOW_FLEXION,GRIP_FOREARM_MODERATE,LOW_SYSTEMIC","NONE","GRIP_FOREARM_SUPPORT","FATIGUE,HYPERTROPHY_VOLUME,BADMINTON_TRANSFER,BALANCE","A_OPENSTAX_11_5|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Neutral/pronated curl family is corrected; support source still needs review.","VERIFY_EXISTING_SOURCE_IDS","V2 taxonomy correction draft only. Muscle contribution is an app-internal heuristic, not a physiological measurement. Do not mutate seed without human approval."
"핵 스쿼트","ex_e9e97659","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","STRENGTH","LOWER_BODY","EXERCISE","NOT_PRESENT_IN_SEED","SQUAT_VARIANTS","NEEDS_SUBTYPE_REVIEW","QUADRICEPS|RECTUS_FEMORIS|GLUTE_MAX|HAMSTRINGS|ERECTOR_SPINAE|GLUTE_MED_MIN|DEEP_CORE|OBLIQUES|HIP_ADDUCTORS","{""QUADRICEPS"":0.3,""RECTUS_FEMORIS"":0.1,""GLUTE_MAX"":0.25,""HAMSTRINGS"":0.08,""ERECTOR_SPINAE"":0.1,""DEEP_CORE"":0.07,""GLUTE_MED_MIN"":0.05,""HIP_ADDUCTORS"":0.05}","MAIN_LOWER_STRENGTH","SQUAT_PATTERN_HEAVY_LOWER","VOLUME_LOAD","SYSTEMIC, NEURAL_HEAVY, LOCAL_MUSCLE, HIGH or MODERATE axial load","NONE","LOWER_STRENGTH_SUPPORT, KNEE_CONTROL, HIP_STABILITY_SUPPORT","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BALANCE","A_OPENSTAX_11_6|B_ACSM_2009_PMID19204579|B_NSCA_ESSENTIALS_5E|C_GLUTE_MAX_REVIEW_PMC7039033","governing_body_resource","LOW","NO","NO","NO","YES","NO","NO","NO","PARTIAL","NO","NEEDS_STRESS_REVIEW","Axial, plyometric, deceleration, SSC, or session stress mapping needs review.","REVIEW_STRESS_AND_RECOVERY_MAPPING","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used."
"핸드스탠드 푸시업","ex_fa2e73b3","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","STRENGTH","PUSH","EXERCISE","NOT_PRESENT_IN_SEED","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","NEEDS_SUBTYPE_REVIEW","ANTERIOR_DELTOID|LATERAL_DELTOID|TRICEPS_BRACHII|PECTORALIS_MAJOR_CLAVICULAR|SERRATUS_ANTERIOR|TRAPEZIUS_UPPER|ROTATOR_CUFF_EXTERNAL|ROTATOR_CUFF_INTERNAL|TRAPEZIUS_LOWER|DEEP_CORE|OBLIQUES","{""ANTERIOR_DELTOID"":0.25,""LATERAL_DELTOID"":0.15,""TRICEPS_BRACHII"":0.2,""PECTORALIS_MAJOR_CLAVICULAR"":0.08,""SERRATUS_ANTERIOR"":0.08,""TRAPEZIUS_UPPER"":0.06,""ROTATOR_CUFF_EXTERNAL"":0.06,""ROTATOR_CUFF_INTERNAL"":0.04,""TRAPEZIUS_LOWER"":0.04,""DEEP_CORE"":0.04}","VERTICAL_PUSH_STRENGTH","VERTICAL_PUSH_OVERHEAD","VOLUME_LOAD","LOCAL_MUSCLE, OVERHEAD_REPETITION, SYSTEMIC moderate, ANTI_ROTATION for unilateral variants","NONE","SHOULDER_DURABILITY, OVERHEAD_POWER_SUPPORT, ANTI_ROTATION_STABILITY","FATIGUE, STRENGTH_PROGRESS, HYPERTROPHY_VOLUME, BADMINTON_TRANSFER, BALANCE","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","anatomy_textbook","MEDIUM","YES","NO","NO","NO","NO","YES","YES","YES","NO","NEEDS_SOURCE_REVIEW","Family is usable as a draft, but evidence source verification remains.","VERIFY_EXISTING_SOURCE_IDS","Draft only; do not mutate seed without human approval. Muscle contribution is an app-internal heuristic, not a physiological measurement. Subtype intentionally left for review; no broad exercise-name parsing was used. Sources need network recheck: D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924"
