"stableKey","exerciseName","currentActivityKind","currentPlanningEligibility","movementFamily","movementSubtype","programSlot","redundancyGroup","progressMetricType","strengthProgressionGroup","analysisEligibility","primaryStressProfile","secondaryStressTags","tendonStressTags","ligamentJointStabilityStressTags","jointImpactStressTags","cognitiveStressTags","sportContextTags","recoveryDecayProfile","stressMagnitudeHint","badmintonTransferLevel","badmintonTransferType","badmintonSkillTargets","badmintonPhysicalQualities","transferConfidence","sourceConfidenceLevel","finalSourceStatus","neuromuscularStressLevel","systemicMuscularStressLevel","localMuscularStressLevel","jointTendonImpactStressLevel","movementFocusDemandLevel","recoveryDurationClass","appCueProfile"
"ex_ab468462","레그 프레스","EXERCISE","PROGRAM_SELECTABLE","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","LEG_PRESS","MACHINE_LOWER_BODY_STRENGTH","MACHINE_KNEE_DOMINANT_PRESS","MACHINE_LOAD_REPS","MACHINE_KNEE_DOMINANT_PRESS","STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE","MACHINE_LOWER_BODY_STRESS","QUADRICEPS_LOAD|GLUTE_LOAD","PATELLAR_TENDON_STRESS","KNEE_HIP_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","LOW","MEDIUM","NONE"
"ex_c1a81cb2","로프 해머 컬","EXERCISE","PROGRAM_SELECTABLE","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","ROPE_HAMMER_CURL","BRACHIALIS_FOREARM_ACCESSORY","ELBOW_FLEXION_NEUTRAL_PRONATED_CURL","VOLUME_LOAD","ELBOW_FLEXION_NEUTRAL_PRONATED_CURL","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","BRACHIALIS_BRACHIORADIALIS_LOAD|ELBOW_FLEXION_LOAD|GRIP_FOREARM_LOAD","FOREARM_FLEXOR_TENDON_STRESS|FOREARM_EXTENSOR_TENDON_STRESS","NONE","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","GRIP_ENDURANCE","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_d2bb7946","루마니안 데드리프트","EXERCISE","PROGRAM_SELECTABLE","DEADLIFT_HINGE_VARIANTS","ROMANIAN_DEADLIFT","MAIN_HINGE_STRENGTH","HEAVY_HINGE","ESTIMATED_1RM","HEAVY_HINGE","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HINGE_POSTERIOR_CHAIN_STRESS","HAMSTRING_LOAD|GLUTE_LOAD|GRIP_LOAD|CORE_BRACING_LOAD|HEAVY_LOAD","HAMSTRING_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","LONG","HIGH","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","LONG","NONE"
"ex_70f19bf","리닝 래터럴 레이즈","EXERCISE","PROGRAM_SELECTABLE","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","LEANING_LATERAL_RAISE","SHOULDER_ACCESSORY","LATERAL_DELTOID_ISOLATION","VOLUME_LOAD","LATERAL_DELTOID_ISOLATION","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","LATERAL_DELTOID_LOCAL_LOAD","ROTATOR_CUFF_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_8a3800f1","리버스 노르딕 컬","EXERCISE","PROGRAM_SELECTABLE","QUAD_ECCENTRIC_KNEE_DOMINANT","REVERSE_NORDIC_CURL","KNEE_DOMINANT_ACCESSORY","QUAD_ECCENTRIC_KNEE_DOMINANT","QUALITY_BASED","QUAD_ECCENTRIC_KNEE_DOMINANT","FATIGUE|BALANCE|BADMINTON_SUPPORTIVE","ECCENTRIC_TENDON_STRESS","QUAD_LOAD|REPEATED_PATTERN_LOAD","QUAD_TENDON_STRESS|PATELLAR_TENDON_STRESS","KNEE_ROTATIONAL_STABILITY_STRESS","NONE","NONE","NONE","VERY_LONG","VERY_HIGH","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","MODERATE","LOW","VERY_HIGH","VERY_HIGH","HIGH","VERY_LONG","NONE"
"ex_c8bcf3ce","리버스 런지","EXERCISE","PROGRAM_SELECTABLE","LUNGE_SPLIT_SQUAT_VARIANTS","REVERSE_LUNGE","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","VOLUME_LOAD","LUNGE_UNILATERAL_LOWER","FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_SUPPORTIVE|BALANCE","LUNGE_DECELERATION_STRESS","QUAD_LOAD|GLUTE_LOAD|DECELERATION_LOAD|LUNGE_REACH_LOAD|SINGLE_LEG_STABILITY_LOAD","PATELLAR_TENDON_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","DIRECTION_CHANGE_IMPACT_STRESS","NONE","NONE","LONG","HIGH","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","VERIFIED_FAMILY","SOURCE_ACCEPTED","HIGH","HIGH","HIGH","HIGH","HIGH","LONG","NONE"
"ex_8e18b02a","리버스 리스트 컬","EXERCISE","PROGRAM_SELECTABLE","FOREARM_GRIP_ACCESSORY","REVERSE_WRIST_CURL","FOREARM_GRIP_ACCESSORY","FOREARM_WRIST_GRIP_ACCESSORY","LOAD_REPS_OR_TIME","FOREARM_WRIST_GRIP_ACCESSORY","ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE","ISOLATION_ACCESSORY_STRESS","GRIP_FOREARM_LOAD|WRIST_CONTROL_LOAD","FOREARM_FLEXOR_TENDON_STRESS|FOREARM_EXTENSOR_TENDON_STRESS","WRIST_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_dd2f732e","리버스 컬","EXERCISE","PROGRAM_SELECTABLE","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","REVERSE_CURL","BRACHIALIS_FOREARM_ACCESSORY","ELBOW_FLEXION_NEUTRAL_PRONATED_CURL","VOLUME_LOAD","ELBOW_FLEXION_NEUTRAL_PRONATED_CURL","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","BRACHIALIS_BRACHIORADIALIS_LOAD|ELBOW_FLEXION_LOAD|GRIP_FOREARM_LOAD","FOREARM_FLEXOR_TENDON_STRESS|FOREARM_EXTENSOR_TENDON_STRESS","NONE","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","GRIP_ENDURANCE","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_7deabeba","리어델트 케이블 플라이","EXERCISE","PROGRAM_SELECTABLE","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","REAR_DELT_CABLE_FLY","REAR_DELT_SCAPULAR_ACCESSORY","POSTERIOR_DELTOID_HORIZONTAL_ABDUCTION","VOLUME_LOAD","POSTERIOR_DELTOID_HORIZONTAL_ABDUCTION","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","POSTERIOR_DELTOID_LOCAL_LOAD|SCAPULAR_RETRACTION_LOAD","ROTATOR_CUFF_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_7176cbee","리어델트 플라이","EXERCISE","PROGRAM_SELECTABLE","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","REAR_DELT_FLY","REAR_DELT_SCAPULAR_ACCESSORY","POSTERIOR_DELTOID_HORIZONTAL_ABDUCTION","VOLUME_LOAD","POSTERIOR_DELTOID_HORIZONTAL_ABDUCTION","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","ISOLATION_ACCESSORY_STRESS","POSTERIOR_DELTOID_LOCAL_LOAD|SCAPULAR_RETRACTION_LOAD","ROTATOR_CUFF_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","LOW","SHORT","NONE"
"ex_bb728af2","리어풋 엘리베이티드 스플릿 스쿼트","EXERCISE","PROGRAM_SELECTABLE","LUNGE_SPLIT_SQUAT_VARIANTS","REAR_FOOT_ELEVATED_SPLIT_SQUAT","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","VOLUME_LOAD","LUNGE_UNILATERAL_LOWER","FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_SUPPORTIVE|BALANCE","UNILATERAL_LOWER_STABILITY_STRESS","QUAD_LOAD|GLUTE_LOAD|UNILATERAL_CONTROL_LOAD|SINGLE_LEG_STABILITY_LOAD|HIP_CONTROL_LOAD","PATELLAR_TENDON_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MEDIUM","NONE"
"ex_282a9d87","링 로우","EXERCISE","PROGRAM_SELECTABLE","ROW_VARIANTS","RING_ROW","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","VOLUME_LOAD","HORIZONTAL_PULL_COMPOUND","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HORIZONTAL_ROW_STRESS","LAT_LOAD|UPPER_BACK_LOAD|REAR_DELTOID_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_STABILITY_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS|ELBOW_JOINT_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","VERIFIED_EXACT","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_a9b52886","마운틴 클라이머","EXERCISE","PROGRAM_SELECTABLE","BODYWEIGHT_CONDITIONING_CORE","MOUNTAIN_CLIMBER","CONDITIONING_CORE","BODYWEIGHT_CONDITIONING_CORE","REPS_OR_TIME","BODYWEIGHT_CONDITIONING_CORE","FATIGUE|CONDITIONING|CORE_ACCESSORY","DYNAMIC_CORE_FLEXION_STRESS","ANTERIOR_CORE_LOAD|HIP_FLEXION_LOAD|CONDITIONING_LOAD","NONE","LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","SHORT","MODERATE","GENERAL","GENERAL_CONDITIONING_SUPPORTIVE","NONE","AEROBIC_BASE|ANAEROBIC_REPEATABILITY","LOW","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","LOW","LOW","HIGH","MODERATE","MODERATE","SHORT","NONE"
"ex_cb3c4dc2","맨몸 스쿼트","EXERCISE","PROGRAM_SELECTABLE","SQUAT_VARIANTS","BODYWEIGHT_SQUAT","BODYWEIGHT_LOWER_PATTERN","BODYWEIGHT_SQUAT_PATTERN","REPS_OR_TIME","BODYWEIGHT_SQUAT_PATTERN","FATIGUE|MOBILITY|CONDITIONING|PATTERN_QUALITY","LOW_LOAD_PREHAB_CONTROL_STRESS","QUADRICEPS_LOAD|GLUTE_LOAD|KNEE_CONTROL_LOAD|HIP_STABILITY_LOAD","PATELLAR_TENDON_STRESS","KNEE_HIP_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","MODERATE","MODERATE","HIGH","SHORT","NONE"
"ex_4aa3725a","머신 숄더프레스","EXERCISE","PROGRAM_SELECTABLE","OVERHEAD_PRESS_VARIANTS","MACHINE_OVERHEAD_PRESS","OVERHEAD_PUSH_STRENGTH_OR_ACCESSORY","OVERHEAD_PRESS_SHOULDER_DOMINANT","LOAD_REPS","OVERHEAD_PRESS_SHOULDER_DOMINANT","STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE","OVERHEAD_PUSH_STRESS","DELTOID_LOAD|TRICEPS_LOAD|OVERHEAD_REPETITION_LOAD","ROTATOR_CUFF_TENDON_STRESS|TRICEPS_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MEDIUM","NONE"
"ex_1dbee10e","머신 체스트프레스","EXERCISE","PROGRAM_SELECTABLE","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","MACHINE_CHEST_PRESS","HORIZONTAL_PUSH_STRENGTH_OR_ACCESSORY","HORIZONTAL_PUSH_COMPOUND","LOAD_REPS","HORIZONTAL_PUSH_COMPOUND","STRENGTH_VOLUME|HYPERTROPHY_VOLUME|FATIGUE","HORIZONTAL_PUSH_STRESS","PECTORAL_LOAD|TRICEPS_LOAD|ANTERIOR_DELTOID_LOAD","PECTORAL_TENDON_STRESS|TRICEPS_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","NONE","NONE","NONE","NONE","NONE","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_f459ad2a","메도우즈 로우","EXERCISE","PROGRAM_SELECTABLE","ROW_VARIANTS","MEADOWS_ROW","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","VOLUME_LOAD","HORIZONTAL_PULL_COMPOUND","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HORIZONTAL_ROW_STRESS","LAT_LOAD|UPPER_BACK_LOAD|REAR_DELTOID_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_STABILITY_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS|ELBOW_JOINT_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","SOURCE_WEAK_BUT_ACCEPTABLE","SOURCE_ACCEPTED_WITH_LIMITATION","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_de46b7f6","바벨 로우","EXERCISE","PROGRAM_SELECTABLE","ROW_VARIANTS","BARBELL_ROW","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","ESTIMATED_1RM","HORIZONTAL_PULL_COMPOUND","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HORIZONTAL_ROW_STRESS","LAT_LOAD|UPPER_BACK_LOAD|REAR_DELTOID_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_STABILITY_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS|ELBOW_JOINT_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","SOURCE_WEAK_BUT_ACCEPTABLE","SOURCE_ACCEPTED_WITH_LIMITATION","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_e8ff8cfa","밴드 외회전","EXERCISE","PROGRAM_SELECTABLE","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","BAND_EXTERNAL_ROTATION","ROTATOR_CUFF_CARE","ROTATOR_CUFF_PREHAB","QUALITY_BASED","NOT_APPLICABLE","RECOVERY_ONLY|BALANCE|BADMINTON_SUPPORTIVE","LOW_LOAD_PREHAB_CONTROL_STRESS","LOW_LOAD_CONTROL|LOCAL_STABILIZER_LOAD","ROTATOR_CUFF_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","SHORT","LOW","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","VERIFIED_FAMILY","SOURCE_ACCEPTED","LOW","LOW","MODERATE","MODERATE","HIGH","SHORT","NONE"
"ex_28347c1f","버드독","EXERCISE","PROGRAM_SELECTABLE","ANTI_ROTATION_ANTI_EXTENSION_CORE","BIRD_DOG","CORE_STABILITY_ACCESSORY","CORE_BRACING_CONTROL","TIME_OR_REPS","CORE_BRACING_CONTROL","ACCESSORY_VOLUME|FATIGUE|BADMINTON_SUPPORTIVE","ISOMETRIC_CORE_BRACING_STRESS","CORE_BRACING_LOAD|ANTI_ROTATION_LOAD","NONE","LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","SHORT","LOW","SUPPORTIVE","CORE_STABILITY_SUPPORTIVE","CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE","CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","MEDIUM","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","LOW","LOW","MODERATE","MODERATE","MODERATE","SHORT","NONE"
"ex_deca2b61","벤치 딥스","EXERCISE","PROGRAM_SELECTABLE","DIP_TRICEPS_PUSH","BENCH_DIP","TRICEPS_ACCESSORY","DIP_TRICEPS_PUSH","VOLUME_LOAD","DIP_TRICEPS_PUSH","FATIGUE|HYPERTROPHY_VOLUME|BALANCE","DIP_PUSH_STRESS","CHEST_LOAD|TRICEPS_LOAD|ANTERIOR_SHOULDER_LOAD|BODYWEIGHT_LOAD","TRICEPS_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS|WRIST_SUPPORT_STRESS|ELBOW_JOINT_STRESS","NONE","NONE","NONE","MEDIUM","HIGH","NONE","NONE","NONE","NONE","NONE","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","HIGH","MODERATE","MEDIUM","NONE"
"barbell_bench_press","벤치프레스","EXERCISE","PROGRAM_SELECTABLE","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","BARBELL_BENCH_PRESS","UPPER_PUSH_STRENGTH","HORIZONTAL_PUSH_COMPOUND","ESTIMATED_1RM","HORIZONTAL_PUSH_COMPOUND","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HORIZONTAL_PUSH_STRESS","PECTORAL_LOAD|TRICEPS_LOAD|ANTERIOR_DELTOID_LOAD","PECTORAL_TENDON_STRESS|TRICEPS_TENDON_STRESS","SHOULDER_SCAPULAR_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","HIGH","NONE","NONE","NONE","NONE","NONE","ANATOMY_SUPPORTED","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"ex_284ecca6","슈퍼맨","EXERCISE","PROGRAM_SELECTABLE","POSTERIOR_CHAIN_LOW_LOAD_CONTROL","SUPERMAN","POSTERIOR_CHAIN_CONTROL_ACCESSORY","LOW_LOAD_POSTERIOR_CHAIN_CONTROL","REPS_OR_TIME","LOW_LOAD_POSTERIOR_CHAIN_CONTROL","FATIGUE_LOW|ACCESSORY_VOLUME|CONTROL","LOW_LOAD_PREHAB_CONTROL_STRESS","LOW_LOAD_CONTROL|LOCAL_STABILIZER_LOAD","NONE","LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","SHORT","LOW","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","CORE_BRACING|HIP_CONTROL|SINGLE_LEG_STABILITY","LOW","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","LOW","LOW","MODERATE","MODERATE","HIGH","SHORT","NONE"
"ex_1052e9fa","스미스 머신 런지","EXERCISE","PROGRAM_SELECTABLE","LUNGE_SPLIT_SQUAT_VARIANTS","SMITH_MACHINE_LUNGE","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","VOLUME_LOAD","LUNGE_UNILATERAL_LOWER","FATIGUE|HYPERTROPHY_VOLUME|BADMINTON_SUPPORTIVE|BALANCE","UNILATERAL_LOWER_STABILITY_STRESS","QUAD_LOAD|GLUTE_LOAD|UNILATERAL_CONTROL_LOAD|SINGLE_LEG_STABILITY_LOAD|HIP_CONTROL_LOAD","PATELLAR_TENDON_STRESS","KNEE_VALGUS_CONTROL_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MEDIUM","NONE"
"ex_fa3416f6","스미스 머신 스쿼트","EXERCISE","PROGRAM_SELECTABLE","SQUAT_VARIANTS","SMITH_MACHINE_SQUAT","MAIN_LOWER_STRENGTH","SQUAT_PATTERN_HEAVY_LOWER","VOLUME_LOAD","SQUAT_PATTERN_HEAVY_LOWER","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HEAVY_AXIAL_LOWER_STRESS","QUAD_LOAD|GLUTE_LOAD|HAMSTRING_LOAD|BARBELL_LOAD|HEAVY_LOAD|NEURAL_LOAD|CORE_BRACING_LOAD","PATELLAR_TENDON_STRESS","KNEE_VALGUS_CONTROL_STRESS|KNEE_ROTATIONAL_STABILITY_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","VERY_LONG","VERY_HIGH","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","HIGH","HIGH","HIGH","HIGH","HIGH","VERY_LONG","NONE"
"ex_e1894690","스캡 풀업","EXERCISE","PROGRAM_SELECTABLE","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","SCAPULAR_PULL_UP","VERTICAL_PULL_STRENGTH","VERTICAL_PULL_COMPOUND","VOLUME_LOAD","VERTICAL_PULL_COMPOUND","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BADMINTON_SUPPORTIVE|BALANCE","VERTICAL_PULL_STRESS","LAT_LOAD|BICEPS_LOAD|GRIP_LOAD|SCAPULAR_CONTROL_LOAD|CORE_BRACING_LOAD|BODYWEIGHT_LOAD","BICEPS_TENDON_STRESS|FOREARM_FLEXOR_TENDON_STRESS","SHOULDER_JOINT_STABILITY_STRESS","NONE","NONE","NONE","MEDIUM","MODERATE","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","VERIFIED_FAMILY","SOURCE_ACCEPTED","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","MEDIUM","NONE"
"barbell_back_squat","스쿼트","EXERCISE","PROGRAM_SELECTABLE","SQUAT_VARIANTS","BACK_SQUAT","MAIN_LOWER_STRENGTH","SQUAT_PATTERN_HEAVY_LOWER","ESTIMATED_1RM","SQUAT_PATTERN_HEAVY_LOWER","FATIGUE|STRENGTH_PROGRESS|HYPERTROPHY_VOLUME|BALANCE","HEAVY_AXIAL_LOWER_STRESS","QUAD_LOAD|GLUTE_LOAD|HAMSTRING_LOAD|BARBELL_LOAD|HEAVY_LOAD|NEURAL_LOAD|CORE_BRACING_LOAD","PATELLAR_TENDON_STRESS","KNEE_VALGUS_CONTROL_STRESS|KNEE_ROTATIONAL_STABILITY_STRESS|LUMBOPELVIC_CONTROL_STRESS","NONE","NONE","NONE","VERY_LONG","VERY_HIGH","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","LOW","HEURISTIC_ACCEPTED","SOURCE_ACCEPTED","HIGH","HIGH","HIGH","HIGH","HIGH","VERY_LONG","NONE"
